name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Ryan Waldschmidt|ARI|1|0|0|0|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jackson Chourio|MIL|14|0|1|2|0|3|1|7|13|0|0|3|0|0.538|0.571|0.769
Blake Dunn|CIN|5|1|2|1|1|2|1|2|4|0|0|0|0|0.5|0.6|1.25
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0|2|1|0.478|0.5|0.652
Jesus Rodriguez|SFG|12|1|1|2|0|0|0|5|11|0|1|0|0|0.455|0.5|0.727
Yohendrick Piñango|TOR|27|0|1|4|0|3|1|11|26|0|0|1|0|0.423|0.444|0.462
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Jhonny Pereda|SEA|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Michael Conforto|CHC|50|2|9|8|0|12|9|15|40|1|0|6|0|0.375|0.48|0.675
Tyler Black|MIL|26|0|2|7|0|5|1|9|25|0|0|4|0|0.36|0.385|0.52
Carlos Cortes|ATH|96|4|11|14|0|9|8|31|87|0|1|5|1|0.356|0.417|0.575
Braden Shewmake|HOU|18|2|4|2|0|3|0|6|17|0|0|0|0|0.353|0.353|0.706
Ildemaro Vargas|ARI|125|6|19|22|0|14|4|42|119|0|0|7|2|0.353|0.374|0.597
Otto Lopez|MIA|160|4|26|16|5|28|6|53|151|1|2|10|2|0.351|0.381|0.523
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Shea Langeliers|ATH|156|11|26|20|0|35|12|48|144|0|0|9|0|0.333|0.385|0.625
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Brandon Marsh|PHI|136|4|20|20|3|26|7|42|126|2|1|7|1|0.333|0.368|0.5
Austin Martin|MIN|110|1|13|7|5|15|20|29|87|1|2|5|0|0.333|0.464|0.425
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Troy Johnston|COL|128|2|12|18|1|27|11|38|115|0|1|10|0|0.33|0.394|0.47
Ben Rice|NYY|138|12|30|27|2|34|23|37|112|2|1|9|0|0.33|0.442|0.732
Xavier Edwards|MIA|163|3|25|13|4|16|22|46|140|0|0|7|2|0.329|0.42|0.471
Andy Pages|LAD|152|8|22|33|6|32|9|46|140|2|1|8|0|0.329|0.368|0.557
Dalton Rushing|LAD|65|7|14|17|0|16|4|19|58|0|3|2|0|0.328|0.4|0.724
Adley Rutschman|BAL|91|5|12|21|0|11|7|27|83|0|1|8|0|0.325|0.385|0.602
Dominic Smith|ATL|82|4|11|18|0|11|4|24|74|2|1|3|0|0.324|0.358|0.527
Yordan Alvarez|HOU|172|13|27|29|1|21|22|47|145|1|4|9|0|0.324|0.424|0.655
Alex Call|LAD|42|0|7|4|0|4|7|11|34|0|1|3|0|0.324|0.452|0.412
Colt Keith|DET|113|0|17|6|1|21|6|34|106|0|1|7|0|0.321|0.363|0.387
Michael Harris II|ATL|126|7|14|22|2|22|6|38|119|1|0|4|0|0.319|0.349|0.529
Yandy Díaz|TBR|156|5|20|23|1|20|13|43|136|1|6|4|1|0.316|0.397|0.471
Liam Hicks|MIA|130|9|20|34|1|12|10|36|114|4|2|3|0|0.316|0.369|0.579
Mickey Moniak|COL|121|11|20|21|1|30|8|35|111|1|1|7|1|0.315|0.364|0.694
Hyeseong Kim|LAD|78|1|10|8|5|14|7|22|70|1|0|3|1|0.314|0.372|0.429
Starling Marte|KCR|38|0|2|2|0|10|1|11|35|1|1|3|0|0.314|0.342|0.4
Luis Arraez|SFG|148|0|14|13|4|6|6|43|137|2|0|7|2|0.314|0.338|0.394
Vladimir Guerrero Jr.|TOR|158|2|22|16|2|19|19|43|137|0|2|7|0|0.314|0.405|0.409
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0|2|1|0.314|0.375|0.451
Ozzie Albies|ATL|168|8|29|23|0|22|13|47|151|3|1|8|0|0.311|0.363|0.523
