name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Jackson Chourio|MIL|10|0|1|1|0|1|1|6|9|0|0|3|0|0.667|0.7|1.0
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0|2|1|0.478|0.5|0.652
Jesus Rodriguez|SFG|9|1|1|2|0|0|0|4|9|0|0|0|0|0.444|0.444|0.778
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Jhonny Pereda|SEA|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Yohendrick Piñango|TOR|26|0|1|4|0|3|1|10|25|0|0|1|0|0.4|0.423|0.44
Carlos Cortes|ATH|87|4|10|13|0|7|8|29|78|0|1|5|1|0.372|0.437|0.615
Ildemaro Vargas|ARI|116|6|19|22|0|11|4|40|110|0|0|7|2|0.364|0.386|0.627
Tyler Black|MIL|26|0|2|7|0|5|1|9|25|0|0|4|0|0.36|0.385|0.52
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Ben Rice|NYY|134|12|30|27|2|32|23|37|108|2|1|9|0|0.343|0.455|0.759
Brandon Marsh|PHI|127|4|18|19|3|25|5|40|119|2|1|7|1|0.336|0.362|0.513
Shea Langeliers|ATH|146|10|24|18|0|32|12|45|134|0|0|9|0|0.336|0.39|0.627
Andy Pages|LAD|149|8|22|33|6|32|9|46|137|2|1|8|0|0.336|0.376|0.569
Otto Lopez|MIA|152|4|25|16|5|28|6|48|143|1|2|9|2|0.336|0.368|0.51
Kyle Farmer|ATL|13|0|2|3|0|2|0|4|12|1|0|1|0|0.333|0.308|0.417
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
MJ Melendez|NYM|45|2|4|6|0|15|4|13|39|0|1|3|1|0.333|0.409|0.615
Sung-Mun Song|SDP|6|0|2|2|1|1|0|2|6|0|0|1|0|0.333|0.333|0.5
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Dalton Rushing|LAD|65|7|14|17|0|16|4|19|58|0|3|2|0|0.328|0.4|0.724
Mickey Moniak|COL|116|11|20|21|1|29|7|35|107|1|1|7|1|0.327|0.371|0.72
Colt Keith|DET|111|0|17|6|1|21|6|34|104|0|1|7|0|0.327|0.369|0.394
Austin Martin|MIN|100|1|12|7|4|15|20|25|77|1|2|4|0|0.325|0.47|0.416
Troy Johnston|COL|123|2|11|17|1|26|10|36|111|0|1|9|0|0.324|0.385|0.459
Dominic Smith|ATL|78|4|11|18|0|11|3|23|71|2|1|2|0|0.324|0.351|0.521
Alex Call|LAD|42|0|7|4|0|4|7|11|34|0|1|3|0|0.324|0.452|0.412
Xavier Edwards|MIA|158|2|24|12|4|15|21|44|136|0|0|7|2|0.324|0.414|0.449
Josh Jung|TEX|136|4|13|19|1|22|10|40|124|1|1|12|0|0.323|0.375|0.516
Ozzie Albies|ATL|163|8|29|23|0|20|13|47|146|3|1|8|0|0.322|0.374|0.541
Liam Hicks|MIA|125|8|19|32|1|11|10|35|109|4|2|3|0|0.321|0.376|0.569
Yordan Alvarez|HOU|168|12|26|27|1|21|22|45|141|1|4|9|0|0.319|0.423|0.638
Vladimir Guerrero Jr.|TOR|154|2|21|16|2|19|17|43|135|0|2|7|0|0.319|0.403|0.415
Yandy Díaz|TBR|147|5|20|22|1|16|13|41|129|0|5|3|1|0.318|0.401|0.473
Luis Arraez|SFG|144|0|14|11|4|6|6|42|133|2|0|7|2|0.316|0.34|0.398
Hyeseong Kim|LAD|78|1|10|8|5|14|7|22|70|1|0|3|1|0.314|0.372|0.429
Starling Marte|KCR|38|0|2|2|0|10|1|11|35|1|1|3|0|0.314|0.342|0.4
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0|2|1|0.314|0.375|0.451
Adley Rutschman|BAL|87|4|10|20|0|11|6|25|80|0|1|8|0|0.313|0.368|0.563
Braden Shewmake|HOU|17|2|4|2|0|3|0|5|16|0|0|0|0|0.313|0.313|0.688
Jeff McNeil|ATH|121|1|9|12|1|12|10|33|106|2|2|8|0|0.311|0.375|0.415
Austin Hedges|CLE|50|1|11|3|1|10|4|14|45|1|0|4|0|0.311|0.36|0.467
Carson Kelly|CHC|104|2|14|13|0|17|13|28|90|0|1|4|0|0.311|0.404|0.422
JJ Bleday|CIN|34|4|6|6|0|7|5|9|29|0|0|1|0|0.31|0.412|0.759
Myles Straw|TOR|67|2|16|6|1|7|7|18|58|1|0|3|0|0.31|0.379|0.466
Joey Wiemer|WSH|66|3|13|8|1|25|8|18|58|0|0|3|1|0.31|0.394|0.552
Masataka Yoshida|BOS|69|0|7|5|1|8|10|18|58|0|1|4|0|0.31|0.42|0.379
Nick Gonzales|PIT|134|0|15|17|2|25|8|38|123|0|3|5|0|0.309|0.366|0.35
Chase DeLauter|CLE|138|6|15|23|0|15|17|37|120|1|0|9|1|0.308|0.391|0.55
Miguel Andujar|SDP|95|2|9|10|1|15|3|28|91|0|1|7|2|0.308|0.337|0.495
Billy Cook|PIT|13|0|5|0|2|5|0|4|13|0|0|0|0|0.308|0.308|0.308
Christian Walker|HOU|155|9|24|27|0|29|15|42|137|1|2|9|0|0.307|0.381|0.569
Brice Turang|MIL|149|5|29|22|7|31|29|36|118|1|0|8|1|0.305|0.439|0.517
Brendan Donovan|SEA|71|3|7|8|1|12|9|17|56|1|5|3|0|0.304|0.437|0.518
Seiya Suzuki|CHC|106|6|17|14|0|24|14|27|89|1|2|3|0|0.303|0.406|0.539
Drake Baldwin|ATL|174|9|33|30|1|35|16|47|155|0|3|5|0|0.303|0.379|0.51
Michael Conforto|CHC|41|1|6|6|0|11|7|10|33|1|0|4|0|0.303|0.415|0.515
Jordan Walker|STL|150|10|28|27|7|43|16|40|132|1|1|6|0|0.303|0.38|0.576
Chandler Simpson|TBR|154|0|18|8|12|15|7|43|142|2|0|1|2|0.303|0.331|0.338
Ezequiel Duran|TEX|87|1|12|11|4|16|9|23|76|1|0|7|1|0.303|0.372|0.461
Matt Olson|ATL|170|13|35|33|0|39|22|44|146|2|0|15|0|0.301|0.388|0.671
Javier Sanoja|MIA|80|0|2|10|2|11|7|22|73|0|0|4|0|0.301|0.363|0.356
Jose Fernandez|ARI|98|3|19|12|1|22|4|28|93|0|1|3|0|0.301|0.337|0.43
Eric Haase|SFG|10|0|2|1|0|2|0|3|10|0|0|2|0|0.3|0.3|0.5
Wilyer Abreu|BOS|155|5|18|16|2|31|18|41|137|0|0|6|1|0.299|0.381|0.467
Kevin McGonigle|DET|158|2|25|16|4|20|20|41|137|0|1|11|2|0.299|0.392|0.453
CJ Abrams|WSH|152|9|21|33|7|27|17|38|127|2|6|6|0|0.299|0.401|0.559
Juan Soto|NYM|91|4|10|10|1|14|13|23|77|1|0|4|0|0.299|0.396|0.506
José Tena|WSH|69|2|11|10|0|19|4|19|64|0|1|4|1|0.297|0.348|0.484
Riley Greene|DET|157|4|24|19|1|44|22|40|135|0|0|10|0|0.296|0.395|0.459
