name|team|ip|w|sv|hld|era|whip|so|hr|qs|bb|hbp|bf
Jason Adam|SDP|2.7|0|1|2|0.0|0.75|0|0|0|1|1|10
Matt Brash|SEA|6.0|1|0|2|0.0|0.67|4|0|0|1|0|21
Huascar Brazobán|NYM|9.0|1|0|0|0.0|0.89|7|0|0|0|0|35
Gavin Collyer|TEX|1.7|1|0|0|0.0|1.2|3|0|0|1|0|7
Duncan Davitt|CHW|1.0|0|0|0|0.0|1.0|0|0|0|1|0|3
Dylan Dodd|ATL|3.0|0|1|0|0.0|0.33|2|0|0|0|0|10
Lazaro Estrada|TOR|4.0|0|0|0|0.0|0.5|3|0|0|2|0|14
Ryan Fernandez|STL|1.7|0|0|0|0.0|2.4|2|0|0|0|0|9
Kyle Finnegan|DET|9.0|1|0|2|0.0|1.33|3|0|0|8|0|36
Cameron Foster|BAL|1.7|0|0|0|0.0|1.8|3|0|0|1|0|8
Rico Garcia|BAL|10.0|2|1|4|0.0|0.3|10|0|0|3|0|33
Joey Gerber|NYM|2.0|0|0|0|0.0|1.5|5|0|0|1|0|9
Tanner Gordon|COL|4.0|0|0|0|0.0|0.75|4|0|0|1|0|14
Ryan Gusto|MIA|1.0|0|0|1|0.0|0.0|1|0|0|0|0|3
Austin Hedges|CLE|0.3|0|0|0|0.0|0.0|0|0|0|0|0|1
Tim Herrin|CLE|4.0|0|0|0|0.0|1.75|3|0|0|3|0|19
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|3
Raisel Iglesias|ATL|7.7|0|4|0|0.0|0.52|10|0|0|0|0|26
Alek Jacob|SDP|2.0|1|0|0|0.0|1.0|3|0|0|1|1|9
Craig Kimbrel|NYM|2.0|0|0|0|0.0|1.0|2|0|0|0|0|7
Jared Koenig|MIL|2.3|0|0|1|0.0|2.14|4|0|0|2|0|13
Christian Koss|SFG|1.0|0|0|0|0.0|0.0|0|0|0|0|0|3
Joel Kuhnel|ATH|4.7|0|3|1|0.0|0.21|3|0|0|0|0|15
Riley Martin|CHC|5.3|0|0|0|0.0|0.56|5|0|0|0|0|18
Easton McGee|MIL|1.0|0|0|0|0.0|1.0|0|0|0|0|0|3
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|3
Mason Miller|SDP|9.3|1|6|0|0.0|0.21|23|0|0|1|0|30
Riley O'Brien|STL|10.3|2|5|1|0.0|0.39|11|0|0|0|1|35
Daniel Palencia|CHC|5.0|1|1|0|0.0|1.0|5|0|0|2|0|19
Mitchell Parker|WSH|2.0|1|0|0|0.0|1.0|5|0|0|0|0|10
Cal Quantrill|TEX|1.0|1|0|0|0.0|1.0|0|0|0|0|0|3
Orlando Ribalta|WSH|2.0|0|1|0|0.0|0.5|1|0|0|0|0|6
Ethan Roberts|CHC|2.7|0|0|0|0.0|0.38|2|0|0|0|2|10
Ryan Rolison|CHC|1.0|0|0|0|0.0|1.0|0|0|0|0|0|3
JoJo Romero|STL|11.3|0|0|5|0.0|0.88|6|0|0|3|1|43
Tyler Samaniego|BOS|3.7|0|0|0|0.0|0.82|4|0|0|3|0|14
Tony Santillan|CIN|9.0|1|0|7|0.0|1.0|10|0|0|6|0|34
Jesse Scholtens|TBR|9.7|1|0|0|0.0|0.83|7|0|0|3|1|36
Antonio Senzatela|COL|12.3|0|1|1|0.0|0.57|15|0|0|3|0|43
Justin Slaten|BOS|3.3|0|0|2|0.0|1.2|5|0|0|2|0|14
Ryan Thompson|ARI|7.7|1|0|4|0.0|0.65|5|0|0|3|0|28
Tyler Tolbert|KCR|0.7|0|0|0|0.0|1.5|0|0|0|0|0|2
Blake Treinen|LAD|6.7|1|0|4|0.0|0.9|6|0|0|3|0|26
Walbert Urena|LAA|1.7|0|0|1|0.0|4.8|2|0|0|3|0|15
Louis Varland|TOR|11.0|1|0|2|0.0|1.0|16|0|0|3|0|41
