name|team|ip|w|sv|hld|era|whip|so|hr|qs|bb|hbp|bf
Andrew Alvarez|WSH|4.3|1|0|0|0.0|0.92|5|0|0|0|0|16
Mason Barnett|ATH|2.0|0|0|0|0.0|1.5|1|0|0|2|0|9
Mason Black|KCR|1.7|0|0|0|0.0|2.4|2|0|0|1|0|9
Matt Brash|SEA|7.3|1|0|3|0.0|0.68|5|0|0|2|0|26
Huascar Brazobán|NYM|10.7|1|0|1|0.0|0.94|10|0|0|2|0|42
Gavin Collyer|TEX|2.0|1|0|0|0.0|1.5|3|0|0|2|0|9
Duncan Davitt|CHW|1.0|0|0|0|0.0|1.0|0|0|0|1|0|3
Lazaro Estrada|TOR|4.0|0|0|0|0.0|0.5|3|0|0|2|0|14
Kyle Finnegan|DET|10.0|1|0|2|0.0|1.3|4|0|0|8|0|40
Joey Gerber|NYM|2.0|0|0|0|0.0|1.5|5|0|0|1|0|9
Ryan Gusto|MIA|1.0|0|0|1|0.0|0.0|1|0|0|0|0|3
Austin Hedges|CLE|0.3|0|0|0|0.0|0.0|0|0|0|0|0|1
Tim Herrin|CLE|5.7|0|0|0|0.0|1.76|3|0|0|4|1|28
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|3
Raisel Iglesias|ATL|8.7|0|5|0|0.0|0.69|11|0|0|1|0|31
Alek Jacob|SDP|2.0|1|0|0|0.0|1.0|3|0|0|1|1|9
Craig Kimbrel|NYM|3.7|0|0|0|0.0|1.09|3|0|0|1|0|13
Jared Koenig|MIL|2.3|0|0|1|0.0|2.14|4|0|0|2|0|13
Christian Koss|SFG|1.0|0|0|0|0.0|0.0|0|0|0|0|0|3
Corbin Martin|CHC|2.0|0|0|0|0.0|1.0|1|0|0|1|0|8
Easton McGee|MIL|1.0|0|0|0|0.0|1.0|0|0|0|0|0|3
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|3
Mason Miller|SDP|11.3|1|8|0|0.0|0.35|27|0|0|2|0|38
Riley O'Brien|STL|13.3|3|7|1|0.0|0.45|15|0|0|0|1|45
Daniel Palencia|CHC|5.0|1|1|0|0.0|1.0|5|0|0|2|0|19
Orlando Ribalta|WSH|2.0|0|1|0|0.0|0.5|1|0|0|0|0|6
Ethan Roberts|CHC|2.7|0|0|0|0.0|0.38|2|0|0|0|2|10
Carlos Rodriguez|MIL|2.0|0|0|0|0.0|1.0|3|0|0|0|0|8
Jake Rogers|DET|1.0|0|0|0|0.0|2.0|1|0|0|0|0|5
Ryan Rolison|CHC|1.0|0|0|0|0.0|1.0|0|0|0|0|0|3
Tyler Samaniego|BOS|5.3|0|0|0|0.0|0.94|7|0|0|4|0|20
Tony Santillan|CIN|10.0|1|1|7|0.0|0.9|12|0|0|6|0|37
Justin Slaten|BOS|3.3|0|0|2|0.0|1.2|5|0|0|2|0|14
Tyler Tolbert|KCR|0.7|0|0|0|0.0|1.5|0|0|0|0|0|2
Louis Varland|TOR|13.0|1|1|3|0.0|0.85|19|0|0|3|0|46
Alex Vesia|LAD|8.7|0|2|3|0.0|0.58|10|0|0|3|0|31
Brandon Young|BAL|5.0|1|0|0|0.0|0.8|2|0|0|2|0|18
José Soriano|LAA|32.7|5|0|0|0.28|0.73|39|1|4|13|0|120
Shohei Ohtani|LAD|18.0|2|0|0|0.5|0.72|18|0|3|6|1|69
Tyler Phillips|MIA|15.0|0|1|0|0.6|1.2|18|0|0|9|1|63
Antonio Senzatela|COL|14.3|1|1|1|0.63|0.7|17|0|0|3|0|52
Braydon Fisher|TOR|12.7|0|0|4|0.71|0.79|12|1|0|2|1|43
Bradgley Rodriguez|SDP|12.3|0|0|3|0.73|1.05|12|0|0|3|0|49
Tyler Rogers|TOR|12.3|1|0|4|0.73|0.97|5|0|0|4|0|50
Rico Garcia|BAL|12.0|2|1|4|0.75|0.42|13|1|0|4|0|41
Gregory Soto|PIT|11.7|0|1|5|0.77|0.69|16|1|0|6|1|44
Tyler Alexander|TEX|11.3|0|2|3|0.79|1.24|10|0|0|3|1|47
Dennis Santana|PIT|11.0|2|2|2|0.82|0.82|7|0|0|5|1|42
Hunter Brown|HOU|10.7|1|0|0|0.84|1.03|17|0|1|6|0|43
Gordon Graceffo|STL|10.7|1|1|1|0.84|0.84|6|0|0|6|1|40
Brennan Bernardino|COL|10.3|2|0|1|0.87|1.16|10|0|0|3|1|42
Brock Burke|CIN|10.3|1|1|1|0.87|1.16|13|0|0|4|0|42
Tim Hill|NYY|10.0|0|0|3|0.9|0.5|3|0|0|0|0|33
Caleb Kilian|SFG|10.0|1|0|1|0.9|0.8|14|1|0|6|1|38
John King|MIA|10.0|1|0|1|0.9|0.6|11|1|0|4|2|38
Tyler Kinley|ATL|10.0|3|0|2|0.9|0.7|9|0|0|3|1|37
Dylan Lee|ATL|10.0|0|0|4|0.9|0.7|9|0|0|2|0|37
Tanner Scott|LAD|9.7|0|0|4|0.93|0.62|9|1|0|1|0|34
Robert Suarez|ATL|9.7|2|1|4|0.93|0.83|11|0|0|1|0|36
Chad Patrick|MIL|19.0|1|0|0|0.95|1.16|9|1|1|7|0|75
Jalen Beeks|TEX|9.3|1|0|3|0.96|1.18|8|0|0|3|0|38
Daniel Lynch IV|KCR|9.0|0|0|2|1.0|0.56|12|0|0|3|1|34
Michael Wacha|KCR|27.0|2|0|0|1.0|0.78|23|2|4|8|1|98
Jaden Hill|COL|8.7|0|0|3|1.04|1.27|8|0|0|6|0|38
Eli Morgan|KCR|8.0|0|1|0|1.13|1.25|8|1|0|6|0|35
Seth Lugo|KCR|31.3|1|0|0|1.15|0.93|28|0|4|10|0|116
