name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Jose Siri|LAA|2|0|0|0|0|0|0|1|2|0|0|0|0|0.5|0.5|0.5
Daniel Susac|SFG|28|0|1|5|0|4|1|11|27|0|0|2|1|0.407|0.429|0.556
José Azócar|ATL|10|0|1|0|1|2|0|4|10|0|0|2|0|0.4|0.4|0.6
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Henry Bolte|ATH|15|0|0|2|1|3|1|5|13|1|0|0|0|0.385|0.4|0.385
Mickey Gasper|BOS|22|0|2|2|0|2|0|8|21|0|1|2|0|0.381|0.409|0.476
Yohendrick Piñango|TOR|47|1|3|7|0|6|3|16|44|0|0|2|0|0.364|0.404|0.477
Ryan Kreidler|MIN|25|2|5|4|0|5|5|7|20|0|0|1|0|0.35|0.48|0.7
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Dominic Smith|ATL|94|4|13|18|0|13|4|30|86|2|1|3|0|0.349|0.376|0.523
Colby Thomas|ATH|32|1|3|3|0|7|2|10|29|0|0|1|0|0.345|0.387|0.483
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Braden Shewmake|HOU|45|3|6|7|0|7|0|15|44|0|0|1|0|0.341|0.341|0.568
Otto Lopez|MIA|190|4|27|20|5|32|7|61|179|2|2|12|2|0.341|0.368|0.497
Carlos Cortes|ATH|111|4|11|15|1|11|9|34|100|1|1|7|1|0.34|0.396|0.55
Ildemaro Vargas|ARI|155|7|24|30|1|16|5|50|148|0|0|8|2|0.338|0.359|0.561
Shea Langeliers|ATH|187|12|32|27|0|39|16|57|169|1|1|10|0|0.337|0.396|0.609
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Michael Conforto|CHC|63|2|10|8|0|15|11|17|51|1|0|8|0|0.333|0.444|0.608
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Brandon Marsh|PHI|165|4|24|22|3|31|7|51|154|3|1|8|1|0.331|0.358|0.474
Riley Greene|DET|191|4|27|23|1|52|26|54|165|0|0|14|0|0.327|0.419|0.485
JJ Bleday|CIN|75|6|12|19|1|11|13|20|62|0|0|5|1|0.323|0.44|0.726
Yordan Alvarez|HOU|205|15|30|31|1|31|29|55|171|1|4|11|0|0.322|0.429|0.649
Nick Gonzales|PIT|162|0|18|19|3|27|12|47|147|0|3|7|0|0.32|0.383|0.367
Austin Martin|MIN|138|1|15|11|7|21|22|36|113|1|2|7|0|0.319|0.435|0.407
Jackson Chourio|MIL|47|1|4|4|1|15|3|14|44|0|0|5|0|0.318|0.362|0.5
Luis Arraez|SFG|187|1|19|15|4|7|12|54|170|2|0|9|2|0.318|0.359|0.412
Troy Johnston|COL|147|2|14|20|1|32|11|42|133|0|2|12|0|0.316|0.377|0.451
Xavier Edwards|MIA|194|4|32|15|4|21|25|53|168|0|0|8|3|0.315|0.404|0.47
Bobby Witt Jr.|KCR|206|7|22|23|13|35|23|56|181|2|0|12|1|0.309|0.383|0.503
Jorge Mateo|ATL|58|2|15|6|5|19|3|17|55|0|0|2|0|0.309|0.345|0.455
Josh Jung|TEX|173|5|19|20|1|27|11|49|159|1|2|13|0|0.308|0.358|0.484
Jordan Walker|STL|190|13|34|34|7|52|19|52|169|1|1|10|0|0.308|0.379|0.598
Wilyer Abreu|BOS|187|6|21|19|3|35|20|51|166|1|0|7|1|0.307|0.38|0.47
Mickey Moniak|COL|149|12|21|28|1|38|9|42|137|1|2|9|2|0.307|0.356|0.664
Randy Arozarena|SEA|198|4|32|17|12|46|20|52|170|2|6|11|1|0.306|0.394|0.453
