name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Sebastián Rivero|LAA|4|0|0|0|0|0|0|2|4|0|0|0|0|0.5|0.5|0.5
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0|2|1|0.478|0.5|0.652
Elias Díaz|KCR|8|0|1|2|0|1|1|3|7|0|0|2|0|0.429|0.5|0.714
JJ Bleday|CIN|6|1|1|1|0|1|1|2|5|0|0|0|0|0.4|0.5|1.0
Carlos Cortes|ATH|74|4|8|13|0|5|8|26|65|0|1|5|1|0.4|0.473|0.692
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Yohendrick Pinango|TOR|5|0|0|1|0|0|0|2|5|0|0|0|0|0.4|0.4|0.4
Alejandro Osuna|TEX|13|0|2|1|0|1|4|3|8|0|1|0|0|0.375|0.615|0.375
Ildemaro Vargas|ARI|91|6|19|20|0|11|3|32|86|0|0|6|2|0.372|0.393|0.698
Vladimir Guerrero Jr.|TOR|126|2|18|15|2|15|15|39|109|0|2|7|0|0.358|0.444|0.477
Tyler Black|MIL|14|0|2|3|0|4|0|5|14|0|0|1|0|0.357|0.357|0.429
Yordan Alvarez|HOU|134|11|22|26|1|11|20|39|110|1|3|9|0|0.355|0.463|0.736
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Dalton Rushing|LAD|52|7|13|17|0|13|4|16|46|0|2|2|0|0.348|0.423|0.848
Adley Rutschman|BAL|60|3|7|13|0|8|5|19|55|0|0|6|0|0.345|0.4|0.618
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Dominic Smith|ATL|70|4|11|17|0|9|3|22|64|1|1|2|0|0.344|0.377|0.563
Ryan Vilade|TBR|35|0|4|5|1|7|3|11|32|0|0|2|0|0.344|0.4|0.406
Vaughn Grissom|LAA|47|1|6|5|0|3|6|13|38|2|0|4|0|0.342|0.413|0.526
Miguel Rojas|LAD|49|1|4|5|0|7|3|15|44|1|0|3|0|0.341|0.375|0.477
Moisés Ballesteros|CHC|79|5|12|16|0|12|7|24|71|1|0|5|0|0.338|0.392|0.62
Xavier Edwards|MIA|133|1|22|9|4|15|19|38|113|0|0|6|2|0.336|0.432|0.451
Kyle Farmer|ATL|10|0|1|3|0|2|0|3|9|1|0|1|0|0.333|0.3|0.444
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Eric Haase|SFG|3|0|1|1|0|0|0|1|3|0|0|1|0|0.333|0.333|0.667
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Kevin McGonigle|DET|131|2|22|13|2|17|16|38|114|0|1|11|2|0.333|0.42|0.518
Drew Romo|CHW|9|2|2|3|0|1|2|2|6|0|1|0|0|0.333|0.556|1.333
Esteury Ruiz|MIA|6|1|1|1|1|1|0|2|6|0|0|0|0|0.333|0.333|0.833
Garrett Stubbs|PHI|7|0|2|1|0|0|0|2|6|1|0|0|0|0.333|0.286|0.333
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Yandy Díaz|TBR|133|4|18|20|1|16|13|38|115|0|5|3|1|0.33|0.421|0.478
Seiya Suzuki|CHC|79|5|14|9|0|19|10|22|67|0|2|1|0|0.328|0.43|0.567
Juan Soto|NYM|64|3|5|8|0|8|9|18|55|0|0|3|0|0.327|0.422|0.545
Joey Wiemer|WSH|63|3|13|8|1|23|8|18|55|0|0|3|1|0.327|0.413|0.582
Ben Rice|NYY|122|10|26|23|1|31|21|32|98|2|1|8|0|0.327|0.443|0.714
Luis Campusano|SDP|50|3|8|10|0|13|4|15|46|0|0|7|0|0.326|0.38|0.674
Jose Fernandez|ARI|86|3|18|12|1|19|3|27|83|0|0|3|0|0.325|0.349|0.47
Nick Gonzales|PIT|108|0|13|15|2|21|5|33|102|0|1|5|0|0.324|0.361|0.373
Javier Sanoja|MIA|68|0|1|10|2|7|6|20|62|0|0|3|0|0.323|0.382|0.371
Otto Lopez|MIA|127|3|20|12|5|26|6|38|118|1|2|7|2|0.322|0.362|0.492
Andy Pages|LAD|123|5|16|25|4|28|8|36|112|2|1|7|0|0.321|0.366|0.518
Daniel Schneemann|CLE|87|4|12|14|2|26|9|25|78|0|0|7|0|0.321|0.391|0.564
Michael Harris II|ATL|107|6|11|20|2|18|6|32|100|1|0|4|0|0.32|0.355|0.54
Colt Keith|DET|92|0|14|6|0|19|4|28|88|0|0|7|0|0.318|0.348|0.398
Ryan O'Hearn|PIT|122|5|16|20|1|22|14|33|104|2|2|4|0|0.317|0.402|0.5
Josh Jung|TEX|113|4|12|17|1|19|10|32|101|1|1|11|0|0.317|0.381|0.545
Ozzie Albies|ATL|132|7|22|20|0|16|9|38|120|2|1|5|0|0.317|0.364|0.533
Liam Hicks|MIA|104|7|18|28|1|8|7|29|92|3|2|3|0|0.315|0.365|0.576
Troy Johnston|COL|102|2|8|16|1|21|8|29|92|0|1|7|0|0.315|0.376|0.457
Luis Arraez|SFG|118|0|11|8|4|4|6|34|108|2|0|3|2|0.315|0.345|0.38
Shea Langeliers|ATH|132|8|19|14|0|31|11|38|121|0|0|6|0|0.314|0.371|0.562
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0|2|1|0.314|0.375|0.451
