name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Endy Rodríguez|PIT|4|0|0|2|0|0|1|2|3|0|0|1|0|0.667|0.75|1.0
Henry Bolte|ATH|8|0|0|1|1|1|1|3|6|1|0|0|0|0.5|0.5|0.5
Sandy León|ATL|2|0|0|0|0|0|0|1|2|0|0|0|0|0.5|0.5|0.5
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0|2|1|0.478|0.5|0.652
Mickey Gasper|BOS|13|0|1|1|0|2|0|5|12|0|1|2|0|0.417|0.462|0.583
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Jhonny Pereda|SEA|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Braden Shewmake|HOU|38|3|6|6|0|6|0|14|37|0|0|1|0|0.378|0.378|0.649
Gage Workman|DET|11|2|2|5|0|2|0|4|11|0|0|2|0|0.364|0.364|1.091
Yohendrick Piñango|TOR|39|0|2|6|0|4|3|13|36|0|0|2|0|0.361|0.41|0.417
Colby Thomas|ATH|31|1|3|3|0|7|2|10|28|0|0|1|0|0.357|0.4|0.5
Dominic Smith|ATL|93|4|13|18|0|13|4|30|85|2|1|3|0|0.353|0.38|0.529
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Carlos Cortes|ATH|110|4|11|15|1|10|9|34|99|1|1|7|1|0.343|0.4|0.556
Brandon Marsh|PHI|155|4|23|21|3|29|7|49|144|3|1|7|1|0.34|0.368|0.486
Shea Langeliers|ATH|179|12|30|27|0|39|15|55|162|1|1|10|0|0.34|0.397|0.623
Otto Lopez|MIA|181|4|27|19|5|32|7|58|171|1|2|11|2|0.339|0.37|0.497
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Michael Conforto|CHC|59|2|9|8|0|15|10|16|48|1|0|7|0|0.333|0.441|0.604
A.J. Ewing|NYM|13|1|4|3|1|3|4|3|9|0|0|0|1|0.333|0.538|0.889
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Austin Martin|MIN|130|1|15|11|7|18|22|35|105|1|2|7|0|0.333|0.454|0.429
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Riley Greene|DET|183|4|27|22|1|48|26|52|157|0|0|13|0|0.331|0.426|0.49
Ildemaro Vargas|ARI|146|7|22|28|1|16|5|46|139|0|0|7|2|0.331|0.354|0.561
Troy Johnston|COL|143|2|14|20|1|30|11|42|129|0|2|12|0|0.326|0.387|0.465
Josh Jung|TEX|164|5|19|20|1|26|10|49|151|1|2|13|0|0.325|0.372|0.51
Yordan Alvarez|HOU|198|14|29|30|1|31|28|53|165|1|4|11|0|0.321|0.429|0.642
JJ Bleday|CIN|66|6|10|18|1|10|13|17|53|0|0|3|1|0.321|0.455|0.755
Nick Gonzales|PIT|158|0|18|19|3|27|12|45|143|0|3|7|0|0.315|0.38|0.364
Xavier Edwards|MIA|185|4|31|15|4|20|24|50|160|0|0|8|3|0.313|0.402|0.475
Wilyer Abreu|BOS|179|6|20|19|3|33|20|49|158|1|0|6|1|0.31|0.385|0.475
Alex Call|LAD|53|0|9|7|0|6|9|13|42|1|1|4|0|0.31|0.434|0.405
Starling Marte|KCR|47|0|2|2|0|13|3|13|42|1|1|3|0|0.31|0.362|0.381
Michael Harris II|ATL|146|7|16|23|2|29|6|43|139|1|0|5|0|0.309|0.336|0.496
Jorge Mateo|ATL|58|2|15|6|4|19|3|17|55|0|0|2|0|0.309|0.345|0.455
Kyle Farmer|ATL|14|0|2|3|0|3|0|4|13|1|0|1|0|0.308|0.286|0.385
Mickey Moniak|COL|141|12|21|26|1|37|9|40|130|1|1|8|2|0.308|0.355|0.677
Bobby Witt Jr.|KCR|197|7|22|22|13|33|22|53|173|2|0|11|1|0.306|0.381|0.503
Andy Pages|LAD|176|9|23|35|6|35|12|49|160|2|2|8|0|0.306|0.358|0.525
Chandler Simpson|TBR|173|0|23|12|14|17|8|49|160|2|0|1|3|0.306|0.335|0.35
Colt Keith|DET|130|0|18|6|1|29|7|37|122|0|1|8|0|0.303|0.346|0.369
Ben Rice|NYY|160|13|31|29|2|41|25|40|132|2|1|9|0|0.303|0.413|0.667
Luis Arraez|SFG|177|0|16|14|4|7|10|49|162|2|0|7|2|0.302|0.339|0.37
Randy Arozarena|SEA|190|4|32|16|11|45|19|49|163|2|6|11|1|0.301|0.389|0.454
Eric Haase|SFG|21|2|5|4|0|4|1|6|20|0|0|2|0|0.3|0.333|0.7
Elly De La Cruz|CIN|195|10|33|29|9|54|17|53|177|1|0|10|0|0.299|0.359|0.525
