name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Jackson Chourio|MIL|10|0|1|1|0|1|1|6|9|0|0|3|0|0.667|0.7|1.0
Blake Dunn|CIN|5|1|2|1|1|2|1|2|4|0|0|0|0|0.5|0.6|1.25
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0|2|1|0.478|0.5|0.652
Jesus Rodriguez|SFG|9|1|1|2|0|0|0|4|9|0|0|0|0|0.444|0.444|0.778
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Jhonny Pereda|SEA|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Yohendrick Piñango|TOR|26|0|1|4|0|3|1|10|25|0|0|1|0|0.4|0.423|0.44
Carlos Cortes|ATH|92|4|11|14|0|8|8|31|83|0|1|5|1|0.373|0.435|0.602
Michael Conforto|CHC|45|2|8|8|0|11|8|13|36|1|0|5|0|0.361|0.467|0.667
Tyler Black|MIL|26|0|2|7|0|5|1|9|25|0|0|4|0|0.36|0.385|0.52
Ildemaro Vargas|ARI|120|6|19|22|0|12|4|41|114|0|0|7|2|0.36|0.381|0.614
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Ben Rice|NYY|134|12|30|27|2|32|23|37|108|2|1|9|0|0.343|0.455|0.759
Otto Lopez|MIA|156|4|25|16|5|28|6|50|147|1|2|9|2|0.34|0.372|0.51
Shea Langeliers|ATH|151|11|26|20|0|32|12|47|139|0|0|9|0|0.338|0.391|0.64
Andy Pages|LAD|149|8|22|33|6|32|9|46|137|2|1|8|0|0.336|0.376|0.569
Kyle Farmer|ATL|13|0|2|3|0|2|0|4|12|1|0|1|0|0.333|0.308|0.417
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Brandon Marsh|PHI|131|4|18|19|3|26|5|41|123|2|1|7|1|0.333|0.359|0.504
Sung-Mun Song|SDP|6|0|2|2|1|1|0|2|6|0|0|1|0|0.333|0.333|0.5
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Xavier Edwards|MIA|159|2|24|12|4|15|21|45|137|0|0|7|2|0.328|0.418|0.453
Dalton Rushing|LAD|65|7|14|17|0|16|4|19|58|0|3|2|0|0.328|0.4|0.724
Colt Keith|DET|111|0|17|6|1|21|6|34|104|0|1|7|0|0.327|0.369|0.394
MJ Melendez|NYM|46|2|4|6|0|16|4|13|40|0|1|3|1|0.325|0.4|0.6
Troy Johnston|COL|127|2|11|17|1|27|11|37|114|0|1|9|0|0.325|0.389|0.456
Dominic Smith|ATL|78|4|11|18|0|11|3|23|71|2|1|2|0|0.324|0.351|0.521
Alex Call|LAD|42|0|7|4|0|4|7|11|34|0|1|3|0|0.324|0.452|0.412
Yandy Díaz|TBR|152|5|20|23|1|17|13|43|133|1|5|4|1|0.323|0.401|0.481
Ozzie Albies|ATL|163|8|29|23|0|20|13|47|146|3|1|8|0|0.322|0.374|0.541
Yordan Alvarez|HOU|168|12|26|27|1|21|22|45|141|1|4|9|0|0.319|0.423|0.638
Liam Hicks|MIA|129|9|20|34|1|12|10|36|113|4|2|3|0|0.319|0.372|0.584
Vladimir Guerrero Jr.|TOR|154|2|21|16|2|19|17|43|135|0|2|7|0|0.319|0.403|0.415
Mickey Moniak|COL|120|11|20|21|1|30|8|35|110|1|1|7|1|0.318|0.367|0.7
Austin Martin|MIN|105|1|12|7|4|15|20|26|82|1|2|4|0|0.317|0.457|0.402
Luis Arraez|SFG|144|0|14|11|4|6|6|42|133|2|0|7|2|0.316|0.34|0.398
Josh Jung|TEX|140|4|13|19|1|22|10|40|127|1|2|12|0|0.315|0.371|0.504
Hyeseong Kim|LAD|78|1|10|8|5|14|7|22|70|1|0|3|1|0.314|0.372|0.429
Starling Marte|KCR|38|0|2|2|0|10|1|11|35|1|1|3|0|0.314|0.342|0.4
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0|2|1|0.314|0.375|0.451
Adley Rutschman|BAL|87|4|10|20|0|11|6|25|80|0|1|8|0|0.313|0.368|0.563
Braden Shewmake|HOU|17|2|4|2|0|3|0|5|16|0|0|0|0|0.313|0.313|0.688
Chandler Simpson|TBR|156|0|18|11|12|15|7|45|144|2|0|1|3|0.313|0.34|0.361
Austin Hedges|CLE|50|1|11|3|1|10|4|14|45|1|0|4|0|0.311|0.36|0.467
Carson Kelly|CHC|104|2|14|13|0|17|13|28|90|0|1|4|0|0.311|0.404|0.422
Myles Straw|TOR|67|2|16|6|1|7|7|18|58|1|0|3|0|0.31|0.379|0.466
Joey Wiemer|WSH|66|3|13|8|1|25|8|18|58|0|0|3|1|0.31|0.394|0.552
Jeff McNeil|ATH|125|1|9|12|1|15|10|34|110|2|2|8|0|0.309|0.371|0.409
Nick Gonzales|PIT|134|0|15|17|2|25|8|38|123|0|3|5|0|0.309|0.366|0.35
Jordan Walker|STL|154|10|29|27|7|43|16|42|136|1|1|8|0|0.309|0.383|0.588
Christian Walker|HOU|155|9|24|27|0|29|15|42|137|1|2|9|0|0.307|0.381|0.569
Chase DeLauter|CLE|143|6|15|23|0|15|18|38|124|1|0|10|1|0.306|0.392|0.548
Miguel Andujar|SDP|99|2|9|10|1|17|3|29|95|0|1|7|2|0.305|0.333|0.484
