name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Elias Díaz|KCR|4|0|0|0|0|0|0|2|4|0|0.5|0.5|0.75
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0.478|0.5|0.652
Dalton Rushing|LAD|31|7|10|13|0|8|1|12|29|0|0.414|0.452|1.207
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0.4|0.4|1.0
Eloy Jiménez|TOR|25|0|2|3|0|4|3|8|21|1|0.381|0.44|0.381
Moisés Ballesteros|CHC|51|3|8|11|0|10|5|17|45|1|0.378|0.431|0.6
Billy Cook|PIT|8|0|4|0|2|2|0|3|8|0|0.375|0.375|0.375
Christian Vázquez|HOU|37|2|6|10|0|7|4|12|32|0|0.375|0.444|0.688
Miguel Rojas|LAD|40|1|4|3|0|6|3|13|35|1|0.371|0.41|0.514
Andy Pages|LAD|90|5|13|21|4|23|6|30|82|1|0.366|0.411|0.598
Nick Loftin|KCR|14|0|3|3|0|1|3|4|11|0|0.364|0.5|0.545
Ildemaro Vargas|ARI|64|3|12|11|0|8|2|22|61|0|0.361|0.381|0.623
Juan Soto|NYM|34|1|3|5|0|6|3|11|31|0|0.355|0.412|0.516
Vladimir Guerrero Jr.|TOR|99|2|13|12|1|12|13|30|85|0|0.353|0.444|0.482
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0.35|0.391|0.45
Xavier Edwards|MIA|103|1|18|7|2|12|13|31|89|0|0.348|0.431|0.483
Dominic Smith|ATL|58|4|10|17|0|7|2|19|55|1|0.345|0.362|0.6
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0.345|0.424|0.448
Joey Wiemer|WSH|50|2|10|5|0|18|6|15|44|0|0.341|0.42|0.568
Andrés Chaparro|WSH|7|0|1|0|0|2|1|2|6|0|0.333|0.429|0.5
Kyle Farmer|ATL|7|0|1|3|0|0|0|2|6|1|0.333|0.286|0.5
Hyeseong Kim|LAD|34|1|5|4|3|8|6|9|27|1|0.333|0.441|0.519
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|0.333|0.4|0.556
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0.333|0.333|0.333
Connor Wong|BOS|27|0|1|2|1|5|1|8|24|0|0.333|0.385|0.5
Yordan Alvarez|HOU|114|10|19|24|1|11|19|30|91|1|0.33|0.456|0.747
Nico Hoerner|CHC|107|4|15|22|7|11|10|30|92|2|0.326|0.402|0.533
Liam Hicks|MIA|83|4|14|21|1|5|5|24|74|2|0.324|0.373|0.527
Ryan O'Hearn|PIT|88|4|11|16|1|15|11|24|74|2|0.324|0.409|0.527
Chandler Simpson|TBR|100|0|12|4|7|7|4|30|93|0|0.323|0.351|0.366
Myles Straw|TOR|35|1|11|3|0|3|3|10|31|0|0.323|0.382|0.452
Yandy Díaz|TBR|104|3|12|17|1|13|10|29|90|0|0.322|0.413|0.478
Kevin McGonigle|DET|100|1|17|10|1|12|13|28|87|0|0.322|0.41|0.494
Javier Sanoja|MIA|54|0|1|9|2|6|4|16|50|0|0.32|0.37|0.38
Carlos Cortes|ATH|53|2|5|7|0|3|6|15|47|0|0.319|0.396|0.532
Ben Rice|NYY|89|8|21|18|1|25|18|22|69|1|0.319|0.461|0.754
Otto Lopez|MIA|97|3|18|11|4|16|6|28|88|1|0.318|0.371|0.523
Jorge Mateo|ATL|24|1|8|3|1|8|2|7|22|0|0.318|0.375|0.5
Adley Rutschman|BAL|43|1|4|5|0|7|5|12|38|0|0.316|0.395|0.553
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0.314|0.375|0.451
Mauricio Dubón|ATL|86|2|12|14|0|15|5|25|80|0|0.313|0.36|0.475
MJ Melendez|NYM|18|1|2|2|0|8|2|5|16|0|0.313|0.389|0.625
Leody Taveras|BAL|58|2|8|13|1|12|9|15|48|0|0.313|0.421|0.5
Shea Langeliers|ATH|103|8|17|14|0|28|10|29|93|0|0.312|0.379|0.613
Austin Martin|MIN|62|1|11|5|2|10|14|14|45|1|0.311|0.484|0.444
Carson Kelly|CHC|69|2|9|10|0|12|11|18|58|0|0.31|0.42|0.466
Drake Baldwin|ATL|111|6|25|22|0|20|9|31|100|0|0.31|0.378|0.53
Daniel Schneemann|CLE|62|2|10|11|1|17|7|17|55|0|0.309|0.387|0.527
Colt Keith|DET|71|0|11|5|0|15|3|21|68|0|0.309|0.338|0.412
Miguel Andujar|SDP|55|0|5|2|1|10|2|16|52|0|0.308|0.345|0.423
