name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Henry Bolte|ATH|12|0|0|2|1|1|1|5|10|1|0|0|0|0.5|0.5|0.5
Sandy León|ATL|4|0|0|0|0|1|0|2|4|0|0|0|0|0.5|0.5|0.5
Mickey Gasper|BOS|18|0|1|2|0|2|0|7|17|0|1|2|0|0.412|0.444|0.529
Daniel Susac|SFG|28|0|1|5|0|4|1|11|27|0|0|2|1|0.407|0.429|0.556
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Braden Shewmake|HOU|42|3|6|7|0|6|0|15|41|0|0|1|0|0.366|0.366|0.61
Colby Thomas|ATH|31|1|3|3|0|7|2|10|28|0|0|1|0|0.357|0.4|0.5
Ryan Kreidler|MIN|25|2|5|4|0|5|5|7|20|0|0|1|0|0.35|0.48|0.7
Yohendrick Piñango|TOR|43|0|2|6|0|5|3|14|40|0|0|2|0|0.35|0.395|0.4
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Dominic Smith|ATL|94|4|13|18|0|13|4|30|86|2|1|3|0|0.349|0.376|0.523
Ildemaro Vargas|ARI|151|7|24|30|1|16|5|50|144|0|0|8|2|0.347|0.369|0.576
JJ Bleday|CIN|71|6|12|19|1|10|13|20|58|0|0|5|1|0.345|0.465|0.776
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Carlos Cortes|ATH|110|4|11|15|1|10|9|34|99|1|1|7|1|0.343|0.4|0.556
Shea Langeliers|ATH|183|12|31|27|0|39|15|56|166|1|1|10|0|0.337|0.393|0.614
Otto Lopez|MIA|185|4|27|19|5|32|7|59|175|1|2|11|2|0.337|0.368|0.491
Brandon Marsh|PHI|160|4|24|22|3|29|7|50|149|3|1|8|1|0.336|0.363|0.483
