name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Yohendrick Pinango|TOR|11|0|0|3|0|0|1|5|10|0|0|0|0|0.5|0.545|0.5
Sebastián Rivero|LAA|4|0|0|0|0|0|0|2|4|0|0|0|0|0.5|0.5|0.5
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0|2|1|0.478|0.5|0.652
Tyler Black|MIL|22|0|2|7|0|5|1|9|21|0|0|4|0|0.429|0.455|0.619
Ildemaro Vargas|ARI|100|6|19|21|0|11|4|38|94|0|0|6|2|0.404|0.429|0.702
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Carlos Cortes|ATH|79|4|8|13|0|7|8|27|70|0|1|5|1|0.386|0.456|0.657
Elias Díaz|KCR|12|1|2|3|0|1|1|4|11|0|0|2|0|0.364|0.417|0.818
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Dalton Rushing|LAD|52|7|13|17|0|13|4|16|46|0|2|2|0|0.348|0.423|0.848
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Juan Soto|NYM|72|3|8|8|0|9|11|21|61|0|0|4|0|0.344|0.444|0.557
Vladimir Guerrero Jr.|TOR|135|2|19|15|2|15|16|40|117|0|2|7|0|0.342|0.43|0.453
Yordan Alvarez|HOU|148|12|25|27|1|15|21|42|123|1|3|9|0|0.341|0.446|0.707
Dominic Smith|ATL|71|4|11|17|0|9|3|22|65|1|1|2|0|0.338|0.371|0.554
Yandy Díaz|TBR|135|5|19|21|1|16|13|39|117|0|5|3|1|0.333|0.422|0.504
Kyle Farmer|ATL|13|0|2|3|0|2|0|4|12|1|0|1|0|0.333|0.308|0.417
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Nick Gonzales|PIT|117|0|14|15|2|21|7|36|108|0|2|5|0|0.333|0.385|0.38
Vaughn Grissom|LAA|48|1|6|5|0|4|6|13|39|2|0|4|0|0.333|0.404|0.513
Eric Haase|SFG|6|0|2|1|0|1|0|2|6|0|0|1|0|0.333|0.333|0.5
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Otto Lopez|MIA|132|3|22|14|5|26|6|41|123|1|2|8|2|0.333|0.371|0.504
Austin Martin|MIN|91|1|11|7|4|13|19|23|69|1|2|4|0|0.333|0.484|0.435
Alejandro Osuna|TEX|17|0|2|2|0|3|4|4|12|0|1|1|0|0.333|0.529|0.417
Esteury Ruiz|MIA|6|1|1|1|1|1|0|2|6|0|0|0|0|0.333|0.333|0.833
Adley Rutschman|BAL|68|4|9|17|0|9|5|21|63|0|0|6|0|0.333|0.382|0.619
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Xavier Edwards|MIA|138|1|22|10|4|15|19|39|118|0|0|7|2|0.331|0.423|0.449
Ben Rice|NYY|127|11|27|26|1|31|21|34|103|2|1|8|0|0.33|0.441|0.728
Luis Campusano|SDP|50|3|8|10|0|13|4|15|46|0|0|7|0|0.326|0.38|0.674
Colt Keith|DET|96|0|14|6|0|19|4|30|92|0|0|7|0|0.326|0.354|0.402
Shea Langeliers|ATH|141|8|22|15|0|32|12|42|129|0|0|9|0|0.326|0.383|0.581
Moisés Ballesteros|CHC|83|5|12|16|0|13|8|24|74|1|0|5|0|0.324|0.386|0.595
Michael Harris II|ATL|109|7|12|22|2|18|6|33|102|1|0|4|0|0.324|0.358|0.569
MJ Melendez|NYM|35|2|4|6|0|13|3|10|31|0|0|3|0|0.323|0.382|0.613
Jose Fernandez|ARI|90|3|19|12|1|19|3|28|87|0|0|3|0|0.322|0.344|0.46
Joey Wiemer|WSH|64|3|13|8|1|24|8|18|56|0|0|3|1|0.321|0.406|0.571
Josh Jung|TEX|118|4|12|19|1|19|10|34|106|1|1|11|0|0.321|0.381|0.538
Ozzie Albies|ATL|141|7|24|20|0|16|10|41|128|2|1|7|0|0.32|0.369|0.539
Troy Johnston|COL|110|2|9|16|1|22|8|32|100|0|1|8|0|0.32|0.376|0.46
Christian Vázquez|HOU|56|2|6|11|0|8|5|16|50|0|0|4|0|0.32|0.382|0.52
Mickey Moniak|COL|102|9|17|18|1|25|6|30|94|1|1|6|0|0.319|0.363|0.67
Andy Pages|LAD|127|5|17|25|4|29|8|37|116|2|1|7|0|0.319|0.362|0.509
Carson Kelly|CHC|92|2|13|11|0|15|12|25|79|0|1|4|0|0.316|0.413|0.443
Seiya Suzuki|CHC|83|5|14|9|0|20|11|22|70|0|2|1|0|0.314|0.422|0.543
Ryan Vilade|TBR|38|0|4|5|1|7|3|11|35|0|0|2|0|0.314|0.368|0.371
Kevin McGonigle|DET|141|2|22|13|2|18|19|38|121|0|1|11|2|0.314|0.411|0.488
Chandler Simpson|TBR|133|0|14|7|11|11|7|38|121|2|0|1|2|0.314|0.346|0.355
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0|2|1|0.314|0.375|0.451
Miguel Rojas|LAD|53|1|4|5|0|7|3|15|48|1|0|3|0|0.313|0.346|0.438
Daniel Schneemann|CLE|89|4|12|14|2|27|9|25|80|0|0|7|0|0.313|0.382|0.55
