name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
MJ Melendez|NYM|8|0|1|1|0|3|1|4|7|0|0.571|0.625|0.857
Dalton Rushing|LAD|18|4|7|8|0|5|0|9|17|0|0.529|0.556|1.353
Daniel Susac|SFG|22|0|1|5|0|2|1|11|21|0|0.524|0.545|0.714
Weston Wilson|BAL|4|0|2|2|0|1|0|2|4|0|0.5|0.5|0.75
Jorge Mateo|ATL|17|1|7|3|1|5|1|7|16|0|0.438|0.471|0.688
Alex Call|LAD|16|0|4|1|0|1|4|5|12|0|0.417|0.563|0.583
Andy Pages|LAD|74|5|11|21|3|18|4|28|68|1|0.412|0.446|0.691
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0.4|0.4|1.0
Christian Vázquez|HOU|32|2|5|10|0|7|1|12|30|0|0.4|0.419|0.733
Ildemaro Vargas|ARI|50|2|10|8|0|7|2|19|48|0|0.396|0.42|0.667
Myles Straw|TOR|19|0|7|2|0|2|1|7|18|0|0.389|0.421|0.444
Connor Wong|BOS|24|0|1|2|1|4|1|8|21|0|0.381|0.435|0.571
Moisés Ballesteros|CHC|44|3|7|10|0|9|3|15|40|1|0.375|0.409|0.625
Leody Taveras|BAL|44|0|6|8|1|9|8|13|35|0|0.371|0.488|0.457
Yandy Díaz|TBR|86|3|11|16|1|8|8|27|74|0|0.365|0.453|0.554
CJ Abrams|WSH|81|6|12|19|4|11|9|24|66|1|0.364|0.469|0.682
George Valera|CLE|11|0|0|2|0|2|0|4|11|0|0.364|0.364|0.545
Dominic Smith|ATL|50|4|10|16|0|6|2|17|47|1|0.362|0.38|0.66
Miguel Rojas|LAD|32|0|3|1|0|6|3|10|28|1|0.357|0.406|0.429
Juan Soto|NYM|34|1|3|5|0|6|3|11|31|0|0.355|0.412|0.516
José Tena|WSH|33|0|7|5|0|8|1|11|31|0|0.355|0.394|0.387
Otto Lopez|MIA|79|3|14|10|3|14|5|25|71|1|0.352|0.405|0.592
Joey Wiemer|WSH|46|2|10|5|0|15|6|14|40|0|0.35|0.435|0.575
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0.35|0.391|0.45
Xavier Edwards|MIA|85|1|16|6|2|9|9|26|75|0|0.347|0.417|0.493
Adrian Del Castillo|ARI|26|1|3|10|0|7|0|9|26|0|0.346|0.346|0.577
Chandler Simpson|TBR|79|0|10|4|7|5|3|25|73|0|0.342|0.368|0.397
Nico Hoerner|CHC|88|3|13|20|6|9|9|26|76|1|0.342|0.42|0.553
Ben Rice|NYY|74|6|18|16|1|20|14|20|59|1|0.339|0.459|0.746
Yordan Alvarez|HOU|93|8|17|19|1|10|18|24|71|1|0.338|0.484|0.761
Andrés Chaparro|WSH|7|0|1|0|0|2|1|2|6|0|0.333|0.429|0.5
Billy Cook|PIT|6|0|3|0|1|2|0|2|6|0|0.333|0.333|0.333
Kyle Farmer|ATL|7|0|1|3|0|0|0|2|6|1|0.333|0.286|0.5
Adam Frazier|LAA|32|1|9|4|0|8|6|8|24|0|0.333|0.484|0.542
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|0.333|0.4|0.556
Javier Sanoja|MIA|47|0|1|7|2|6|2|15|45|0|0.333|0.362|0.4
Carson Kelly|CHC|59|1|8|7|0|8|10|16|49|0|0.327|0.441|0.449
Drake Baldwin|ATL|91|5|20|19|0|16|6|27|83|0|0.325|0.385|0.542
Austin Martin|MIN|56|1|9|4|2|8|13|13|40|1|0.325|0.5|0.45
Luke Raley|SEA|67|4|8|12|0|25|3|20|62|0|0.323|0.373|0.613
Nick Fortes|TBR|55|1|4|7|0|7|1|17|53|0|0.321|0.345|0.453
Brandon Nimmo|TEX|88|4|13|11|1|17|8|25|78|0|0.321|0.398|0.551
Luis Arraez|SFG|80|0|8|6|2|4|5|23|72|2|0.319|0.354|0.389
Shea Langeliers|ATH|80|6|13|12|0|23|8|23|72|0|0.319|0.388|0.611
Jordan Walker|STL|79|8|16|16|2|23|7|23|72|0|0.319|0.38|0.694
Mauricio Dubón|ATL|74|2|11|12|0|11|4|22|69|0|0.319|0.365|0.493
Miguel Andujar|SDP|44|0|5|2|1|8|2|13|41|0|0.317|0.364|0.439
Jeremiah Jackson|BAL|62|5|6|17|0|16|0|19|60|1|0.317|0.323|0.6
Colt Keith|DET|63|0|10|5|0|15|3|19|60|0|0.317|0.349|0.433
Jorbit Vivas|WSH|49|0|9|2|0|6|4|12|38|1|0.316|0.426|0.342
Casey Schmitt|SFG|59|2|7|6|1|14|2|17|54|0|0.315|0.373|0.519
Wilyer Abreu|BOS|75|3|9|10|0|17|5|22|70|0|0.314|0.36|0.529
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0.314|0.375|0.451
Vladimir Guerrero Jr.|TOR|80|1|7|7|1|9|12|21|67|0|0.313|0.425|0.418
Ryan O'Hearn|PIT|80|3|9|13|1|13|10|21|67|2|0.313|0.4|0.493
Oneil Cruz|PIT|89|6|16|19|9|28|8|25|80|0|0.313|0.382|0.588
Daniel Schneemann|CLE|51|2|7|11|1|13|3|15|48|0|0.313|0.353|0.563
Luis Campusano|SDP|31|1|5|6|0|7|2|9|29|0|0.31|0.355|0.552
Taylor Walls|TBR|35|0|6|4|2|6|2|9|29|0|0.31|0.375|0.345
Masataka Yoshida|BOS|38|0|3|5|1|6|8|9|29|0|0.31|0.474|0.414
William Contreras|MIL|78|2|9|11|0|9|10|21|68|0|0.309|0.397|0.471
Kevin McGonigle|DET|85|1|14|8|1|11|13|22|72|0|0.306|0.412|0.486
Will Smith|LAD|68|2|9|10|0|10|8|18|59|1|0.305|0.382|0.424
Jo Adell|LAA|87|3|11|12|1|15|2|25|82|0|0.305|0.345|0.427
Ty France|SDP|25|1|4|1|0|3|1|7|23|0|0.304|0.36|0.478
Sal Stewart|CIN|83|7|14|17|4|16|13|21|69|1|0.304|0.41|0.667
Brendan Donovan|SEA|71|3|7|8|1|12|9|17|56|1|0.304|0.437|0.518
Corbin Carroll|ARI|73|2|12|11|1|19|9|19|63|1|0.302|0.384|0.587
Jose Fernandez|ARI|50|2|9|8|1|13|0|15|50|0|0.3|0.3|0.46
Tyler Freeman|COL|35|0|1|4|2|5|1|9|30|0|0.3|0.382|0.3
Hyeseong Kim|LAD|26|1|4|3|3|8|5|6|20|1|0.3|0.423|0.5
Matt Olson|ATL|89|5|16|15|0|24|12|23|77|0|0.299|0.393|0.61
Jose Altuve|HOU|88|3|15|7|1|16|14|22|74|0|0.297|0.409|0.5
Ernie Clement|TOR|75|0|6|5|1|4|1|22|74|0|0.297|0.307|0.378
Tristan Gray|MIN|32|2|4|11|0|9|2|8|27|1|0.296|0.355|0.556
Randy Arozarena|SEA|86|1|16|7|5|14|12|21|71|0|0.296|0.419|0.394
Alec Burleson|STL|84|2|8|14|1|9|12|21|71|1|0.296|0.393|0.437
Francisco Alvarez|NYM|63|4|8|5|0|11|8|15|51|0|0.294|0.41|0.549
Adley Rutschman|BAL|39|0|3|3|0|6|5|10|34|0|0.294|0.385|0.471
Austin Hedges|CLE|27|0|5|2|0|5|2|7|24|1|0.292|0.333|0.375
J.T. Realmuto|PHI|55|1|5|4|0|11|5|14|48|0|0.292|0.382|0.396
Matt Chapman|SFG|84|1|11|11|0|16|5|23|79|0|0.291|0.333|0.405
Taylor Ward|BAL|94|0|10|8|1|18|13|23|79|1|0.291|0.394|0.418
Teoscar Hernández|LAD|67|4|12|12|1|22|4|18|62|1|0.29|0.328|0.532
Brandon Marsh|PHI|66|2|8|11|2|15|3|18|62|1|0.29|0.318|0.452
Ramón Laureano|SDP|76|4|12|13|3|16|6|20|69|0|0.29|0.355|0.551
Garrett Mitchell|MIL|58|1|6|16|3|23|12|13|45|0|0.289|0.439|0.444
Liam Hicks|MIA|66|4|11|18|1|5|3|17|59|2|0.288|0.333|0.508
Max Muncy|ATH|71|2|13|5|2|27|3|19|66|0|0.288|0.338|0.485
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0.286|0.286|0.429
Vaughn Grissom|LAA|19|0|3|1|0|1|4|4|14|0|0.286|0.444|0.286
Bryce Harper|PHI|80|4|10|11|1|11|10|20|70|0|0.286|0.375|0.557
Tyler Heineman|TOR|24|0|3|1|0|4|1|6|21|0|0.286|0.348|0.286
Derek Hill|CHW|25|0|3|0|3|8|4|6|21|0|0.286|0.4|0.286
Ryan Jeffers|MIN|59|2|10|10|0|11|8|14|49|0|0.286|0.397|0.449
Brandon Lowe|PIT|82|7|11|18|0|17|11|20|70|0|0.286|0.39|0.643
Ryan Mountcastle|BAL|15|0|0|1|0|2|1|4|14|0|0.286|0.333|0.357
Seiya Suzuki|CHC|33|0|5|2|0|8|5|8|28|0|0.286|0.394|0.321
Andrés Giménez|TOR|72|3|6|11|3|11|4|19|67|0|0.284|0.324|0.478
Willson Contreras|BOS|76|3|9|11|0|20|11|17|60|0|0.283|0.434|0.467
Troy Johnston|COL|59|2|6|8|0|12|4|15|53|0|0.283|0.345|0.453
Ceddanne Rafaela|BOS|61|1|9|5|0|11|4|15|53|0|0.283|0.377|0.358
Kyle Isbel|KCR|54|2|6|6|4|11|4|13|46|0|0.283|0.353|0.435
Christian Walker|HOU|83|4|12|16|0|13|10|20|71|1|0.282|0.373|0.535
Carlos Cortes|ATH|37|1|4|6|0|2|5|9|32|0|0.281|0.378|0.438
Brice Turang|MIL|79|3|18|11|6|19|14|18|64|0|0.281|0.41|0.531
Javier Báez|DET|54|1|6|5|1|11|2|14|50|1|0.28|0.315|0.42
Kyle Higashioka|TEX|29|1|5|3|0|8|4|7|25|0|0.28|0.379|0.4
Everson Pereira|CHW|27|3|5|5|0|10|2|7|25|0|0.28|0.333|0.68
Daylen Lile|WSH|91|1|13|8|1|14|5|24|86|0|0.279|0.319|0.372
Angel Martínez|CLE|67|2|8|9|4|11|3|17|61|0|0.279|0.333|0.443
Jonny DeLuca|TBR|38|2|7|9|1|6|2|10|36|0|0.278|0.316|0.5
Josh Jung|TEX|63|1|6|5|0|12|5|16|58|0|0.276|0.333|0.414
Jake Mangum|PIT|45|0|8|1|2|7|4|11|40|0|0.275|0.341|0.3
