name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Elias Díaz|KCR|3|0|0|0|0|0|0|2|3|0|0.667|0.667|1.0
Kyle Stowers|MIA|4|0|0|0|0|1|0|2|3|0|0.667|0.75|1.0
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0.478|0.5|0.652
Dalton Rushing|LAD|23|5|8|10|0|6|0|10|22|0|0.455|0.478|1.227
Alex Call|LAD|21|0|5|1|0|2|5|6|15|0|0.4|0.571|0.533
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0.4|0.4|1.0
Ryan Ward|LAD|5|0|0|1|0|0|0|2|5|0|0.4|0.4|0.4
Weston Wilson|BAL|6|0|2|2|1|2|0|2|5|0|0.4|0.5|0.6
Andy Pages|LAD|84|5|12|21|3|22|6|29|76|1|0.382|0.429|0.632
Billy Cook|PIT|8|0|4|0|2|2|0|3|8|0|0.375|0.375|0.375
Christian Vázquez|HOU|37|2|6|10|0|7|4|12|32|0|0.375|0.444|0.688
Jorge Mateo|ATL|20|1|7|3|1|7|1|7|19|0|0.368|0.4|0.579
Ildemaro Vargas|ARI|60|2|11|8|0|8|2|21|57|0|0.368|0.39|0.596
Moisés Ballesteros|CHC|48|3|7|10|0|10|3|16|44|1|0.364|0.396|0.591
José Tena|WSH|36|0|7|6|0|8|2|12|33|0|0.364|0.417|0.394
Leody Taveras|BAL|49|1|7|9|1|11|9|14|39|0|0.359|0.479|0.513
MJ Melendez|NYM|16|1|2|2|0|8|2|5|14|0|0.357|0.438|0.714
Juan Soto|NYM|34|1|3|5|0|6|3|11|31|0|0.355|0.412|0.516
Dominic Smith|ATL|54|4|10|16|0|7|2|18|51|1|0.353|0.37|0.627
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0.35|0.391|0.45
Myles Straw|TOR|29|1|9|3|0|3|2|9|26|0|0.346|0.393|0.5
Joey Wiemer|WSH|50|2|10|5|0|18|6|15|44|0|0.341|0.42|0.568
Ben Rice|NYY|84|8|21|18|1|21|18|22|65|1|0.338|0.476|0.8
Otto Lopez|MIA|88|3|16|10|3|15|5|27|80|1|0.338|0.386|0.55
Yandy Díaz|TBR|96|3|12|16|1|12|9|28|83|0|0.337|0.427|0.506
Xavier Edwards|MIA|94|1|17|6|2|12|10|28|83|0|0.337|0.409|0.47
Yordan Alvarez|HOU|104|10|19|21|1|11|19|27|81|1|0.333|0.471|0.79
Andrés Chaparro|WSH|7|0|1|0|0|2|1|2|6|0|0.333|0.429|0.5
Adrian Del Castillo|ARI|34|1|4|11|0|8|1|11|33|0|0.333|0.353|0.545
Kyle Farmer|ATL|7|0|1|3|0|0|0|2|6|1|0.333|0.286|0.5
Vladimir Guerrero Jr.|TOR|91|1|9|10|1|11|12|26|78|0|0.333|0.429|0.436
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|0.333|0.4|0.556
Felix Reyes|PHI|3|1|1|1|0|1|0|1|3|0|0.333|0.333|1.333
Chandler Simpson|TBR|90|0|10|4|7|7|3|28|84|0|0.333|0.356|0.381
Connor Wong|BOS|27|0|1|2|1|5|1|8|24|0|0.333|0.385|0.5
Ryan O'Hearn|PIT|84|4|11|15|1|14|11|23|70|2|0.329|0.417|0.543
Liam Hicks|MIA|75|4|13|19|1|5|4|22|67|2|0.328|0.373|0.552
Nick Fortes|TBR|59|1|4|7|0|7|2|18|55|0|0.327|0.373|0.455
Nico Hoerner|CHC|97|3|13|21|7|9|10|27|83|2|0.325|0.402|0.518
Troy Johnston|COL|69|2|7|10|1|14|5|20|62|0|0.323|0.382|0.516
Miguel Rojas|LAD|35|0|3|1|0|6|3|10|31|1|0.323|0.371|0.387
Taylor Trammell|HOU|31|0|4|4|1|9|3|9|28|0|0.321|0.387|0.429
CJ Abrams|WSH|91|6|12|19|4|12|10|24|75|1|0.32|0.429|0.6
Javier Sanoja|MIA|53|0|1|9|2|6|3|16|50|0|0.32|0.358|0.38
Colt Keith|DET|66|0|10|5|0|15|3|20|63|0|0.317|0.348|0.429
Carson Kelly|CHC|64|2|9|10|0|11|10|17|54|0|0.315|0.422|0.481
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0.314|0.375|0.451
Luke Raley|SEA|73|5|11|13|0|25|4|21|67|0|0.313|0.37|0.627
Miguel Andujar|SDP|51|0|5|2|1|9|2|15|48|0|0.313|0.353|0.438
Drew Gilbert|SFG|18|1|2|2|0|3|2|5|16|0|0.313|0.389|0.5
Eloy Jiménez|TOR|18|0|2|1|0|4|2|5|16|0|0.313|0.389|0.313
Casey Schmitt|SFG|69|2|7|7|1|16|2|20|64|0|0.313|0.362|0.516
Wilyer Abreu|BOS|83|3|11|10|0|18|6|24|77|0|0.312|0.361|0.506
Kevin McGonigle|DET|90|1|15|9|1|11|13|24|77|0|0.312|0.411|0.481
Austin Martin|MIN|62|1|11|5|2|10|14|14|45|1|0.311|0.484|0.444
Brandon Nimmo|TEX|101|4|13|11|1|21|9|28|90|0|0.311|0.386|0.522
Shea Langeliers|ATH|93|6|15|12|0|26|9|26|84|0|0.31|0.376|0.571
Jorbit Vivas|WSH|54|0|10|2|0|6|5|13|42|1|0.31|0.423|0.357
Hyeseong Kim|LAD|32|1|5|3|3|8|5|8|26|1|0.308|0.406|0.5
Luis Arraez|SFG|90|0|10|6|2|4|5|25|82|2|0.305|0.337|0.366
Jordan Walker|STL|90|8|17|16|3|27|8|25|82|0|0.305|0.367|0.646
Drake Baldwin|ATL|101|5|21|19|0|18|7|28|92|0|0.304|0.366|0.5
Michael Conforto|CHC|29|0|3|4|0|10|6|7|23|0|0.304|0.448|0.435
Brendan Donovan|SEA|71|3|7|8|1|12|9|17|56|1|0.304|0.437|0.518
Adam Frazier|LAA|42|1|10|4|0|11|6|10|33|0|0.303|0.425|0.455
Jeremiah Jackson|BAL|69|5|6|17|1|18|1|20|66|1|0.303|0.319|0.561
Will Smith|LAD|75|2|10|11|0|12|8|20|66|1|0.303|0.373|0.409
Ernie Clement|TOR|87|0|7|5|1|6|1|26|86|0|0.302|0.31|0.407
Jonny DeLuca|TBR|45|2|10|11|2|7|2|13|43|0|0.302|0.333|0.512
Daniel Schneemann|CLE|58|2|9|11|1|16|5|16|53|0|0.302|0.362|0.528
Dillon Dingler|DET|73|5|10|18|0|12|4|19|63|0|0.302|0.38|0.603
William Contreras|MIL|84|2|10|11|0|10|11|22|73|0|0.301|0.393|0.466
Corbin Carroll|ARI|82|3|15|16|2|21|11|21|70|1|0.3|0.39|0.6
Jose Fernandez|ARI|60|2|10|9|1|15|0|18|60|0|0.3|0.3|0.433
Brice Turang|MIL|88|4|19|14|6|20|17|21|70|0|0.3|0.437|0.571
Masataka Yoshida|BOS|39|0|3|5|1|6|8|9|30|0|0.3|0.462|0.4
Mauricio Dubón|ATL|82|2|11|14|0|15|4|23|77|0|0.299|0.341|0.455
Jose Altuve|HOU|99|3|17|8|1|19|15|25|84|0|0.298|0.404|0.476
Everson Pereira|CHW|41|3|6|5|0|12|3|11|37|0|0.297|0.366|0.649
Freddie Freeman|LAD|89|3|9|14|0|10|7|24|81|0|0.296|0.36|0.519
