name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Chadwick Tromp|ATL|1|0|0|0|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Orlando Arcia|MIN|2|0|0|0|0|1|0|1|2|0|0|0|0|0.5|0.5|0.5
Michael Helman|TEX|2|0|0|0|0|1|0|1|2|0|0|0|0|0.5|0.5|0.5
Daniel Susac|SFG|37|0|1|7|0|6|3|14|34|0|0|3|1|0.412|0.459|0.559
Jose Siri|LAA|5|0|2|0|0|2|0|2|5|0|0|1|0|0.4|0.4|0.6
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Mickey Gasper|BOS|32|0|3|2|0|5|0|11|31|0|1|2|0|0.355|0.375|0.419
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Carlos Cortes|ATH|120|4|11|16|1|12|12|37|106|1|1|8|1|0.349|0.417|0.557
Blake Dunn|CIN|26|1|6|1|2|6|3|8|23|0|0|1|0|0.348|0.423|0.522
Otto Lopez|MIA|204|4|30|21|8|33|8|66|191|2|3|13|2|0.346|0.377|0.497
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Colby Thomas|ATH|35|1|4|5|0|8|2|11|32|0|0|2|0|0.344|0.382|0.5
Ildemaro Vargas|ARI|169|7|28|31|1|16|5|55|162|0|0|8|2|0.34|0.359|0.543
Riley Greene|DET|203|4|29|24|1|54|28|58|173|0|2|15|0|0.335|0.433|0.491
José Azócar|ATL|16|0|1|0|1|3|1|5|15|0|0|2|0|0.333|0.375|0.467
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Dominic Smith|ATL|102|4|13|19|0|16|4|31|94|2|1|3|0|0.33|0.356|0.489
Shea Langeliers|ATH|198|12|33|27|0|41|19|58|177|1|1|10|0|0.328|0.394|0.588
Yohendrick Piñango|TOR|56|1|4|8|0|8|4|17|52|0|0|2|0|0.327|0.375|0.423
Troy Johnston|COL|156|2|16|21|1|34|12|46|141|0|2|13|0|0.326|0.387|0.461
Michael Conforto|CHC|72|3|11|11|0|17|12|19|59|1|0|8|0|0.322|0.431|0.61
Brandon Marsh|PHI|173|4|25|22|3|36|7|52|162|3|1|9|1|0.321|0.347|0.463
Luis Arraez|SFG|200|2|21|17|4|7|13|58|181|3|0|9|2|0.32|0.36|0.425
Xavier Edwards|MIA|208|6|36|19|6|23|25|58|182|0|0|8|3|0.319|0.401|0.495
Henry Bolte|ATH|24|0|1|2|1|6|1|7|22|1|0|1|0|0.318|0.333|0.364
Ryan Vilade|TBR|68|2|7|13|1|12|6|19|60|1|0|3|1|0.317|0.373|0.5
Yandy Díaz|TBR|198|8|27|33|1|23|16|55|174|1|7|7|1|0.316|0.394|0.506
Andrew Vaughn|MIL|43|1|7|6|0|4|6|11|35|0|2|3|0|0.314|0.442|0.486
Nick Gonzales|PIT|172|0|20|19|3|28|13|49|156|0|3|7|0|0.314|0.378|0.359
Yordan Alvarez|HOU|217|15|30|31|1|36|31|56|181|1|4|11|0|0.309|0.419|0.619
Jackson Chourio|MIL|62|1|5|5|3|17|3|18|59|0|0|5|0|0.305|0.339|0.441
Jorge Mateo|ATL|63|2|17|6|5|21|4|18|59|0|0|3|0|0.305|0.349|0.458
Alex Call|LAD|58|0|11|9|0|7|10|14|46|1|1|4|0|0.304|0.431|0.391
Carson Kelly|CHC|131|2|16|17|0|22|15|35|115|0|1|6|0|0.304|0.389|0.409
Drake Baldwin|ATL|216|13|39|38|1|44|24|57|188|1|3|6|0|0.303|0.389|0.543
Bobby Witt Jr.|KCR|218|7|23|23|15|37|23|58|193|2|0|12|1|0.301|0.372|0.482
Randy Arozarena|SEA|210|4|33|19|12|50|20|54|180|3|7|13|1|0.3|0.386|0.45
Jordan Walker|STL|198|13|34|34|7|52|19|53|177|1|1|10|0|0.299|0.369|0.576
Miguel Andujar|SDP|139|5|15|17|1|24|4|40|134|0|1|11|2|0.299|0.324|0.522
Travis Bazzana|CLE|82|2|10|9|7|13|13|20|67|0|2|1|0|0.299|0.427|0.403
Ezequiel Duran|TEX|138|3|20|21|4|29|12|37|124|1|0|11|1|0.298|0.358|0.476
Josh Jung|TEX|187|5|21|20|1|28|13|51|171|1|2|14|0|0.298|0.353|0.468
Elly De La Cruz|CIN|217|11|36|32|9|60|20|58|195|1|1|12|1|0.297|0.364|0.538
Ben Rice|NYY|184|16|36|33|2|45|25|46|155|2|2|10|0|0.297|0.397|0.671
CJ Abrams|WSH|207|9|30|39|7|42|21|52|176|3|7|11|1|0.295|0.386|0.523
Ryan Jeffers|MIN|148|7|26|26|1|23|23|36|122|1|1|7|1|0.295|0.408|0.541
Wilyer Abreu|BOS|201|6|21|19|3|37|20|53|180|1|0|7|1|0.294|0.363|0.444
Andy Pages|LAD|198|10|27|42|6|40|13|53|180|3|2|8|0|0.294|0.343|0.506
Chandler Simpson|TBR|195|0|24|12|14|19|10|53|180|2|0|2|4|0.294|0.328|0.35
Brandon Lockridge|MIL|96|0|9|12|5|25|10|25|85|0|0|4|0|0.294|0.368|0.341
Casey Schmitt|SFG|165|8|20|21|3|34|6|45|153|1|5|8|1|0.294|0.339|0.516
Anthony Volpe|NYY|24|0|2|3|2|4|7|5|17|0|0|2|0|0.294|0.5|0.412
Ryan Waldschmidt|ARI|39|0|4|6|3|9|4|10|34|0|0|4|0|0.294|0.368|0.412
Liam Hicks|MIA|171|9|22|42|1|15|13|44|150|4|4|4|0|0.293|0.357|0.5
Austin Martin|MIN|150|1|16|11|7|22|23|36|123|1|3|7|0|0.293|0.413|0.374
Juan Soto|NYM|144|7|19|17|4|23|20|36|123|1|0|4|1|0.293|0.389|0.512
Brice Turang|MIL|198|7|39|29|9|42|34|47|161|1|0|10|1|0.292|0.413|0.497
Jacob Wilson|ATH|168|3|18|19|2|20|5|47|161|1|0|8|0|0.292|0.311|0.398
Jake Bauers|MIL|160|7|27|28|4|34|16|42|144|0|0|10|0|0.292|0.363|0.507
JJ Bleday|CIN|87|6|12|20|1|13|14|21|72|1|0|6|1|0.292|0.402|0.653
A.J. Ewing|NYM|32|1|6|4|2|8|7|7|24|0|0|0|1|0.292|0.452|0.5
Ryan Kreidler|MIN|29|2|5|4|0|7|5|7|24|0|0|1|0|0.292|0.414|0.583
Starling Marte|KCR|53|0|2|2|0|15|3|14|48|1|1|3|0|0.292|0.34|0.354
Michael Harris II|ATL|166|9|19|26|3|33|7|46|158|1|0|5|0|0.291|0.319|0.494
Colt Keith|DET|142|0|18|6|1|32|7|39|134|0|1|8|0|0.291|0.331|0.351
Braden Shewmake|HOU|56|3|6|7|0|11|0|16|55|0|0|2|0|0.291|0.291|0.491
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
Weston Wilson|BAL|38|1|6|3|2|10|6|9|31|0|1|1|0|0.29|0.421|0.419
Christian Yelich|MIL|75|3|13|13|3|21|6|20|69|0|0|4|1|0.29|0.347|0.507
Mickey Moniak|COL|159|12|21|28|1|38|10|42|145|1|3|9|2|0.29|0.346|0.628
Ryan O'Hearn|PIT|182|7|27|29|1|34|19|46|159|2|2|6|0|0.289|0.368|0.459
Jake McCarthy|COL|110|2|10|18|8|20|8|28|97|1|1|7|2|0.289|0.346|0.464
Luis Campusano|SDP|58|3|9|10|0|15|5|15|52|0|1|7|0|0.288|0.362|0.596
Kevin McGonigle|DET|207|2|28|16|7|27|28|51|177|0|2|12|2|0.288|0.391|0.412
Ceddanne Rafaela|BOS|169|4|20|19|3|38|10|44|153|0|6|7|2|0.288|0.355|0.438
Ernie Clement|TOR|189|3|18|16|1|15|7|52|181|1|0|13|0|0.287|0.312|0.409
Sam Antonacci|CHW|116|1|16|9|3|14|7|28|98|1|8|5|2|0.286|0.377|0.408
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0|1|0|0.286|0.286|0.429
Kyle Farmer|ATL|15|0|2|3|0|4|0|4|14|1|0|1|0|0.286|0.267|0.357
Paul Goldschmidt|NYY|83|5|15|13|0|17|10|20|70|0|3|5|1|0.286|0.398|0.6
Ryan Mountcastle|BAL|15|0|0|1|0|2|1|4|14|0|0|1|0|0.286|0.333|0.357
Miguel Rojas|LAD|77|1|6|7|0|8|4|20|70|2|0|3|0|0.286|0.316|0.371
Max Schuemann|NYY|19|0|3|1|2|4|5|4|14|0|0|2|0|0.286|0.474|0.429
Joey Wiemer|WSH|83|3|16|12|1|29|12|20|70|0|1|5|1|0.286|0.398|0.514
Corbin Carroll|ARI|190|7|33|24|6|43|28|45|158|2|2|11|6|0.285|0.395|0.563
William Contreras|MIL|197|3|25|27|0|22|19|50|176|1|1|8|0|0.284|0.355|0.381
Matt Olson|ATL|214|14|36|41|1|51|25|53|187|2|0|16|0|0.283|0.364|0.594
Alec Burleson|STL|201|7|24|34|2|32|18|51|180|2|1|11|0|0.283|0.348|0.461
Brayan Rocchio|CLE|181|4|22|27|8|18|18|44|156|1|4|5|1|0.282|0.369|0.404
Vladimir Guerrero Jr.|TOR|203|3|28|21|3|23|23|49|175|2|3|7|0|0.28|0.369|0.371
Jeff McNeil|ATH|161|1|14|14|1|21|12|40|143|2|3|9|0|0.28|0.344|0.364
Spencer Horwitz|PIT|155|3|15|20|1|22|23|36|129|2|1|7|1|0.279|0.387|0.419
Carlos Correa|HOU|141|3|22|16|1|26|18|34|122|1|0|8|0|0.279|0.369|0.418
Ty France|SDP|82|4|9|14|1|15|2|22|79|0|1|3|2|0.278|0.305|0.519
Nolan Arenado|ARI|171|7|25|25|1|33|16|42|151|2|2|9|0|0.278|0.351|0.477
Daulton Varsho|TOR|179|5|22|15|4|32|15|45|162|0|2|9|1|0.278|0.346|0.438
Jonny DeLuca|TBR|118|2|17|19|6|25|5|31|112|0|0|11|0|0.277|0.308|0.429
Nick Kurtz|ATH|216|8|31|34|6|63|44|47|170|0|2|10|1|0.276|0.431|0.488
Jose Fernandez|ARI|131|3|22|14|6|32|5|34|123|0|1|4|0|0.276|0.31|0.382
Justin Foscue|TEX|32|2|3|6|0|8|2|8|29|1|0|3|0|0.276|0.313|0.586
Joey Loperfido|HOU|66|0|7|7|1|19|6|16|58|1|1|5|0|0.276|0.348|0.362
Kyle Isbel|KCR|134|3|14|10|5|32|7|33|120|0|3|6|1|0.275|0.331|0.417
Adley Rutschman|BAL|130|7|16|26|0|21|8|33|120|1|1|9|0|0.275|0.323|0.525
Brendan Donovan|SEA|101|3|9|8|1|15|11|23|84|1|5|4|1|0.274|0.386|0.452
Griffin Conine|MIA|25|2|6|4|2|6|2|6|22|0|1|1|0|0.273|0.36|0.591
Nick Sogard|BOS|12|0|0|1|0|2|1|3|11|0|0|1|0|0.273|0.333|0.364
Seiya Suzuki|CHC|154|7|22|18|0|40|19|36|132|1|2|4|0|0.273|0.37|0.462
Brandon Nimmo|TEX|204|5|21|16|1|40|19|49|180|1|4|8|2|0.272|0.353|0.422
Shohei Ohtani|LAD|209|7|31|25|6|48|33|46|169|2|4|11|1|0.272|0.399|0.473
Cody Bellinger|NYY|208|6|30|32|5|26|32|47|173|3|0|11|3|0.272|0.38|0.474
Ozzie Albies|ATL|210|8|31|26|0|26|16|51|188|4|2|8|0|0.271|0.329|0.441
Bryce Harper|PHI|205|12|29|30|3|37|27|48|177|1|0|9|1|0.271|0.366|0.537
Samuel Basallo|BAL|145|6|18|17|0|37|12|36|133|0|0|7|1|0.271|0.331|0.474
TJ Rumfield|COL|196|6|20|24|0|31|18|47|174|1|3|8|1|0.27|0.347|0.431
Hyeseong Kim|LAD|113|1|13|10|5|26|11|27|100|1|0|3|1|0.27|0.339|0.35
Nick Fortes|TBR|121|1|10|9|0|17|3|31|115|0|3|5|0|0.27|0.306|0.339
Spencer Steer|CIN|186|7|26|18|3|37|15|45|167|1|3|9|0|0.269|0.339|0.449
Darell Hernaiz|ATH|89|1|10|6|2|14|9|21|78|0|0|1|0|0.269|0.345|0.321
Richie Palacios|TBR|95|1|13|11|6|21|13|21|78|1|3|3|0|0.269|0.389|0.346
Zack Gelof|ATH|102|6|18|16|4|23|6|25|93|0|1|2|1|0.269|0.32|0.505
Chase DeLauter|CLE|189|7|19|30|0|20|23|44|164|2|0|10|1|0.268|0.354|0.47
Jung Hoo Lee|SFG|193|3|20|17|0|22|10|48|179|2|2|10|1|0.268|0.311|0.385
Ben Williamson|TBR|127|0|19|14|4|24|14|30|112|0|0|6|1|0.268|0.349|0.339
Isiah Kiner-Falefa|BOS|50|0|6|4|3|8|4|12|45|0|0|1|0|0.267|0.327|0.289
Heliot Ramos|SFG|176|4|19|20|0|47|10|44|165|1|0|12|1|0.267|0.307|0.424
Myles Straw|TOR|86|2|17|6|1|13|9|20|75|1|0|3|0|0.267|0.341|0.387
Jesús Sánchez|TOR|152|5|16|21|1|29|6|37|139|4|3|6|0|0.266|0.303|0.417
Angel Martínez|CLE|166|9|23|25|8|33|6|40|151|1|4|8|0|0.265|0.309|0.497
Carson Benge|NYM|168|3|25|17|8|33|12|41|155|0|1|7|0|0.265|0.321|0.368
Luke Raley|SEA|134|10|19|27|1|47|8|32|121|0|4|4|1|0.264|0.331|0.562
