name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Omar Martinez|LAA|1|0|0|0|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Blake Dunn|CIN|5|1|2|1|1|2|1|2|4|0|0|0|0|0.5|0.6|1.25
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0|2|1|0.478|0.5|0.652
Jesus Rodriguez|SFG|12|1|1|2|0|0|0|5|11|0|1|0|0|0.455|0.5|0.727
Jackson Chourio|MIL|19|0|1|3|0|4|1|8|18|0|0|3|0|0.444|0.474|0.611
Yohendrick Piñango|TOR|27|0|1|4|0|3|1|11|26|0|0|1|0|0.423|0.444|0.462
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Jhonny Pereda|SEA|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Michael Conforto|CHC|55|2|9|8|0|13|10|16|44|1|0|7|0|0.364|0.473|0.659
Carlos Cortes|ATH|99|4|11|14|0|9|8|32|90|0|1|6|1|0.356|0.414|0.578
Otto Lopez|MIA|165|4|27|16|5|29|6|55|156|1|2|11|2|0.353|0.382|0.526
Braden Shewmake|HOU|21|3|5|3|0|3|0|7|20|0|0|0|0|0.35|0.35|0.8
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Ildemaro Vargas|ARI|129|6|19|24|0|14|4|43|123|0|0|7|2|0.35|0.37|0.585
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Shea Langeliers|ATH|161|11|28|22|0|35|13|50|147|1|0|9|0|0.34|0.391|0.626
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Alex Call|LAD|44|0|8|4|0|4|7|12|36|0|1|4|0|0.333|0.455|0.444
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Brandon Marsh|PHI|140|4|21|21|3|28|7|43|129|3|1|7|1|0.333|0.364|0.496
Andy Pages|LAD|156|9|23|35|6|33|9|48|144|2|1|8|0|0.333|0.372|0.576
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Troy Johnston|COL|132|2|13|18|1|28|11|39|119|0|1|10|0|0.328|0.389|0.462
Yordan Alvarez|HOU|176|13|27|29|1|22|24|48|147|1|4|10|0|0.327|0.432|0.66
Austin Martin|MIN|112|1|13|7|5|16|20|29|89|1|2|5|0|0.326|0.455|0.416
Xavier Edwards|MIA|168|4|26|14|4|17|22|47|145|0|0|7|2|0.324|0.413|0.483
Nick Gonzales|PIT|144|0|16|17|3|26|11|42|130|0|3|6|0|0.323|0.389|0.369
Dalton Rushing|LAD|66|7|14|17|0|17|4|19|59|0|3|2|0|0.322|0.394|0.712
Dominic Smith|ATL|83|4|11|18|0|11|4|24|75|2|1|3|0|0.32|0.354|0.52
Josh Jung|TEX|148|5|15|20|1|23|10|43|135|1|2|12|0|0.319|0.372|0.519
Adley Rutschman|BAL|96|5|12|21|0|13|7|28|88|0|1|9|0|0.318|0.375|0.591
Colby Thomas|ATH|25|1|2|3|0|5|2|7|22|0|0|0|0|0.318|0.375|0.455
Vladimir Guerrero Jr.|TOR|163|2|23|17|2|19|19|45|142|0|2|7|0|0.317|0.405|0.408
Ben Rice|NYY|143|12|30|27|2|36|23|37|117|2|1|9|0|0.316|0.427|0.701
Yandy Díaz|TBR|156|5|20|23|1|20|13|43|136|1|6|4|1|0.316|0.397|0.471
Michael Harris II|ATL|131|7|14|23|2|24|6|39|124|1|0|5|0|0.315|0.344|0.524
Starling Marte|KCR|38|0|2|2|0|10|1|11|35|1|1|3|0|0.314|0.342|0.4
Ozzie Albies|ATL|173|8|30|25|0|22|13|49|156|3|1|8|0|0.314|0.364|0.519
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0|2|1|0.314|0.375|0.451
Luis Arraez|SFG|152|0|14|13|4|7|6|44|141|2|0|7|2|0.312|0.336|0.39
Colt Keith|DET|116|0|17|6|1|23|6|34|109|0|1|7|0|0.312|0.353|0.376
Riley Greene|DET|165|4|25|20|1|46|23|44|142|0|0|12|0|0.31|0.406|0.479
Zach Cole|HOU|13|2|2|5|0|4|0|4|13|0|0|1|0|0.308|0.308|0.846
Kyle Farmer|ATL|14|0|2|3|0|3|0|4|13|1|0|1|0|0.308|0.286|0.385
Liam Hicks|MIA|134|9|20|34|1|12|11|36|117|4|2|3|0|0.308|0.366|0.564
Chandler Simpson|TBR|159|0|18|11|12|16|7|45|147|2|0|1|3|0.306|0.333|0.354
Seiya Suzuki|CHC|115|7|19|16|0|25|17|29|95|1|2|3|0|0.305|0.417|0.558
Mickey Moniak|COL|125|11|20|21|1|33|8|35|115|1|1|7|1|0.304|0.352|0.67
Wilyer Abreu|BOS|163|6|19|18|3|31|20|43|142|1|0|6|1|0.303|0.387|0.486
Hyeseong Kim|LAD|82|1|10|8|5|15|8|22|73|1|0|3|1|0.301|0.366|0.411
Jordan Walker|STL|163|10|30|27|7|46|18|43|143|1|1|8|0|0.301|0.38|0.566
Ryan Jeffers|MIN|121|5|21|23|1|22|18|30|100|1|1|5|1|0.3|0.408|0.52
Ernie Clement|TOR|160|2|14|12|1|11|5|46|154|1|0|13|0|0.299|0.319|0.422
Drake Baldwin|ATL|184|9|34|31|1|38|20|48|161|0|3|5|0|0.298|0.386|0.497
Bobby Witt Jr.|KCR|179|5|18|19|12|31|19|47|158|2|0|11|1|0.297|0.369|0.475
Matt Olson|ATL|179|13|35|35|1|41|22|46|155|2|0|15|0|0.297|0.38|0.645
Miguel Andujar|SDP|102|2|9|10|1|17|3|29|98|0|1|7|2|0.296|0.324|0.469
Brendan Donovan|SEA|76|3|8|8|1|12|9|18|61|1|5|3|0|0.295|0.421|0.492
Myles Straw|TOR|71|2|16|6|1|8|8|18|61|1|0|3|0|0.295|0.371|0.443
Joey Wiemer|WSH|70|3|13|8|1|27|9|18|61|0|0|3|1|0.295|0.386|0.525
CJ Abrams|WSH|165|9|23|36|7|29|18|41|139|2|6|6|1|0.295|0.394|0.547
Chase DeLauter|CLE|148|6|15|23|0|16|18|38|129|1|0|10|1|0.295|0.378|0.527
Austin Hedges|CLE|57|1|11|4|1|12|5|15|51|1|0|4|0|0.294|0.351|0.431
Brandon Lockridge|MIL|96|0|9|12|5|25|10|25|85|0|0|4|0|0.294|0.368|0.341
Joe Mack|MIA|17|0|1|1|0|4|0|5|17|0|0|3|0|0.294|0.294|0.471
Ryan O'Hearn|PIT|158|5|21|26|1|30|18|40|136|2|2|5|0|0.294|0.38|0.441
Casey Schmitt|SFG|129|6|14|18|2|26|5|35|119|1|4|8|1|0.294|0.341|0.529
Kevin McGonigle|DET|167|2|26|16|5|21|22|42|143|0|2|11|2|0.294|0.395|0.441
Carson Kelly|CHC|111|2|14|13|0|18|14|28|96|0|1|4|0|0.292|0.387|0.396
Brice Turang|MIL|158|5|30|22|8|32|29|37|127|1|0|8|1|0.291|0.42|0.488
William Contreras|MIL|157|3|21|26|0|17|14|41|141|1|1|7|0|0.291|0.357|0.404
Jeff McNeil|ATH|133|1|9|12|1|17|10|34|117|2|3|8|0|0.291|0.356|0.385
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
Jose Fernandez|ARI|106|3|19|12|2|26|5|29|100|0|1|3|0|0.29|0.33|0.41
Tyler Freeman|COL|89|2|8|12|4|11|3|22|76|0|7|2|0|0.289|0.372|0.395
Jacob Wilson|ATH|166|3|18|19|2|20|5|46|159|1|0|8|0|0.289|0.309|0.396
Cody Bellinger|NYY|169|5|24|28|4|22|24|41|142|3|0|10|3|0.289|0.385|0.507
Luis Campusano|SDP|58|3|9|10|0|15|5|15|52|0|1|7|0|0.288|0.362|0.596
Jorge Mateo|ATL|54|2|14|5|4|19|2|15|52|0|0|2|0|0.288|0.315|0.442
Jake McCarthy|COL|86|2|9|15|7|14|8|21|73|1|1|6|2|0.288|0.361|0.507
Christian Walker|HOU|164|9|24|27|0|29|15|42|146|1|2|9|0|0.288|0.36|0.534
Ezequiel Duran|TEX|100|2|13|13|4|19|11|25|87|1|0|7|1|0.287|0.364|0.46
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0|1|0|0.286|0.286|0.429
Elias Díaz|KCR|15|1|2|3|0|1|1|4|14|0|0|2|0|0.286|0.333|0.643
