name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Henry Bolte|ATH|4|0|0|1|0|0|1|2|2|1|0|0|0|1.0|0.75|1.0
Sandy León|ATL|2|0|0|0|0|0|0|1|2|0|0|0|0|0.5|0.5|0.5
Michael Stefanic|ATH|4|0|1|0|0|1|0|2|4|0|0|0|0|0.5|0.5|0.5
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0|2|1|0.478|0.5|0.652
Mickey Gasper|BOS|12|0|1|1|0|1|0|5|11|0|1|2|0|0.455|0.5|0.636
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Jhonny Pereda|SEA|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Braden Shewmake|HOU|34|3|6|4|0|6|0|12|33|0|0|0|0|0.364|0.364|0.636
Yohendrick Piñango|TOR|39|0|2|6|0|4|3|13|36|0|0|2|0|0.361|0.41|0.417
Dominic Smith|ATL|89|4|13|18|0|12|4|29|81|2|1|3|0|0.358|0.386|0.543
Carlos Cortes|ATH|107|4|11|15|1|9|9|34|96|1|1|7|1|0.354|0.411|0.573
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Colby Thomas|ATH|29|1|2|3|0|6|2|9|26|0|0|1|0|0.346|0.393|0.5
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Brandon Marsh|PHI|151|4|23|21|3|28|7|48|140|3|1|7|1|0.343|0.371|0.493
Otto Lopez|MIA|177|4|27|18|5|32|7|56|167|1|2|11|2|0.335|0.367|0.497
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Jackson Chourio|MIL|33|0|1|3|1|6|3|10|30|0|0|3|0|0.333|0.394|0.433
