name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Andrew Alvarez|WSH|4.3|1|0|0|0.0|0.92|5|0|0|0|4|0|0|16
Mason Barnett|ATH|2.0|0|0|0|0.0|1.5|1|0|0|0|1|2|0|9
Mason Black|KCR|4.7|0|0|0|0.0|1.93|5|0|0|0|7|2|0|22
Matt Brash|SEA|11.3|2|0|4|0.0|0.44|8|0|0|0|3|2|1|38
Carlos Carrasco|ATL|2.3|0|0|0|0.0|0.43|2|0|0|0|1|0|0|8
Gavin Collyer|TEX|9.7|1|0|0|0.0|0.83|8|0|0|0|4|4|3|38
Nick Davila|SEA|2.0|0|0|0|0.0|1.5|1|0|0|0|2|1|0|8
Duncan Davitt|CHW|1.0|0|0|0|0.0|1.0|0|0|0|0|0|1|0|3
Jose Espada|BAL|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|4
Lazaro Estrada|TOR|4.0|0|0|0|0.0|0.5|3|0|0|0|0|2|0|14
Alec Gamboa|BOS|1.0|0|0|0|0.0|0.0|2|0|0|0|0|0|0|3
Brandyn Garcia|ARI|5.0|0|0|0|0.0|0.2|5|0|0|0|1|0|0|15
Joey Gerber|NYM|2.0|0|0|0|0.0|1.5|5|0|0|0|2|1|0|9
Ryan Gusto|MIA|1.0|0|0|1|0.0|0.0|1|0|0|0|0|0|0|3
Seth Halvorsen|COL|2.0|0|0|2|0.0|1.0|2|0|0|0|0|2|0|8
Brenan Hanifee|DET|6.7|0|0|0|0.0|0.9|4|0|0|0|5|1|0|25
Austin Hedges|CLE|0.3|0|0|0|0.0|0.0|0|0|0|0|0|0|0|1
Tim Herrin|CLE|11.7|0|0|1|0.0|1.46|5|0|0|0|10|7|1|53
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Raisel Iglesias|ATL|9.7|0|6|0|0.0|0.72|13|0|0|0|6|1|0|35
Alek Jacob|SDP|2.0|1|0|0|0.0|1.0|3|0|0|0|1|1|1|9
William Kempner|MIA|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Jared Koenig|MIL|2.3|0|0|1|0.0|2.14|4|0|0|0|3|2|0|13
Brooks Kriske|ATH|1.0|0|0|0|0.0|2.0|1|0|0|0|2|0|0|5
Alek Manoah|LAA|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Yuki Matsui|SDP|2.7|0|0|0|0.0|1.5|2|0|0|0|3|1|0|11
Easton McGee|MIL|2.0|0|0|0|0.0|1.0|1|0|0|0|1|1|0|6
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Anthony Molina|ATL|2.0|0|0|0|0.0|0.5|0|0|0|0|0|1|0|6
Daniel Palencia|CHC|6.3|1|2|0|0.0|0.95|6|0|0|0|4|2|0|24
Joel Peguero|SFG|2.0|0|0|0|0.0|0.5|1|0|0|0|1|0|0|7
Eduardo Rivera|BOS|3.3|0|0|0|0.0|0.3|3|0|0|0|1|0|0|10
Ethan Roberts|CHC|5.7|0|0|0|0.0|0.71|2|0|0|0|1|3|2|21
Jake Rogers|DET|1.0|0|0|0|0.0|2.0|1|0|0|0|2|0|0|5
