name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Elias Díaz|KCR|4|0|0|0|0|0|0|2|4|0|0.5|0.5|0.75
Kyle Stowers|MIA|8|0|2|0|0|1|1|3|6|0|0.5|0.625|0.667
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0.478|0.5|0.652
Dalton Rushing|LAD|28|7|10|13|0|8|0|12|27|0|0.444|0.464|1.296
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0.4|0.4|1.0
Miguel Rojas|LAD|39|1|4|3|0|6|3|13|34|1|0.382|0.421|0.529
Moisés Ballesteros|CHC|50|3|8|10|0|10|4|17|45|1|0.378|0.42|0.6
Billy Cook|PIT|8|0|4|0|2|2|0|3|8|0|0.375|0.375|0.375
Christian Vázquez|HOU|37|2|6|10|0|7|4|12|32|0|0.375|0.444|0.688
Andy Pages|LAD|89|5|13|21|4|22|6|30|81|1|0.37|0.416|0.605
Eloy Jiménez|TOR|21|0|2|1|0|4|2|7|19|0|0.368|0.429|0.368
Ildemaro Vargas|ARI|60|2|11|8|0|8|2|21|57|0|0.368|0.39|0.596
Nick Loftin|KCR|14|0|3|3|0|1|3|4|11|0|0.364|0.5|0.545
MJ Melendez|NYM|16|1|2|2|0|8|2|5|14|0|0.357|0.438|0.714
Juan Soto|NYM|34|1|3|5|0|6|3|11|31|0|0.355|0.412|0.516
Vladimir Guerrero Jr.|TOR|95|2|11|12|1|12|12|29|82|0|0.354|0.442|0.488
Alex Call|LAD|27|0|6|2|0|3|6|7|20|0|0.35|0.519|0.45
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0.35|0.391|0.45
Dominic Smith|ATL|58|4|10|17|0|7|2|19|55|1|0.345|0.362|0.6
Myles Straw|TOR|33|1|11|3|0|3|3|10|29|0|0.345|0.406|0.483
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0.345|0.424|0.448
Xavier Edwards|MIA|98|1|17|7|2|12|12|29|85|0|0.341|0.423|0.482
Leody Taveras|BAL|54|2|8|13|1|12|9|15|44|0|0.341|0.453|0.545
Joey Wiemer|WSH|50|2|10|5|0|18|6|15|44|0|0.341|0.42|0.568
Ben Rice|NYY|84|8|21|18|1|21|18|22|65|1|0.338|0.476|0.8
Liam Hicks|MIA|79|4|13|21|1|5|4|24|71|2|0.338|0.38|0.549
Otto Lopez|MIA|92|3|18|11|4|15|6|28|83|1|0.337|0.391|0.554
Chandler Simpson|TBR|95|0|11|4|7|7|3|30|89|0|0.337|0.359|0.382
Andrés Chaparro|WSH|7|0|1|0|0|2|1|2|6|0|0.333|0.429|0.5
Carlos Cortes|ATH|48|2|5|7|0|2|6|14|42|0|0.333|0.417|0.548
