name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Elias Díaz|KCR|4|0|0|0|0|0|0|2|4|0|0.5|0.5|0.75
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0.478|0.5|0.652
Dalton Rushing|LAD|31|7|10|13|0|8|1|12|29|0|0.414|0.452|1.207
Eloy Jiménez|TOR|26|0|2|3|0|4|3|9|22|1|0.409|0.462|0.409
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0.4|0.4|1.0
Billy Cook|PIT|8|0|5|0|2|2|0|3|8|0|0.375|0.375|0.375
Miguel Rojas|LAD|43|1|4|3|0|6|3|14|38|1|0.368|0.405|0.5
Moisés Ballesteros|CHC|55|3|9|11|0|10|5|18|49|1|0.367|0.418|0.592
Ildemaro Vargas|ARI|69|5|14|16|0|9|2|24|66|0|0.364|0.382|0.697
Joey Wiemer|WSH|52|3|11|6|1|18|7|16|45|0|0.356|0.442|0.644
Andy Pages|LAD|94|5|13|21|4|24|7|30|85|1|0.353|0.404|0.576
Juan Soto|NYM|38|1|3|5|0|6|4|12|34|0|0.353|0.421|0.5
Javier Sanoja|MIA|58|0|1|9|2|6|4|19|54|0|0.352|0.397|0.407
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0.35|0.391|0.45
Yordan Alvarez|HOU|118|11|20|26|1|11|19|33|95|1|0.347|0.466|0.779
Dominic Smith|ATL|58|4|10|17|0|7|2|19|55|1|0.345|0.362|0.6
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0.345|0.424|0.448
Christian Vázquez|HOU|41|2|6|10|0|8|5|12|35|0|0.343|0.425|0.629
Yandy Díaz|TBR|108|3|13|18|1|14|10|32|94|0|0.34|0.426|0.489
Vladimir Guerrero Jr.|TOR|103|2|13|12|1|13|13|30|89|0|0.337|0.427|0.461
Luis Campusano|SDP|39|2|7|7|0|9|3|12|36|0|0.333|0.385|0.667
Andrés Chaparro|WSH|7|0|1|0|0|2|1|2|6|0|0.333|0.429|0.5
Kyle Farmer|ATL|7|0|1|3|0|0|0|2|6|1|0.333|0.286|0.5
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|0.333|0.4|0.556
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0.333|0.333|0.333
Xavier Edwards|MIA|108|1|18|7|2|13|13|31|94|0|0.33|0.411|0.457
Carlos Cortes|ATH|58|2|6|7|0|4|6|17|52|0|0.327|0.397|0.519
Leody Taveras|BAL|62|2|9|14|1|13|9|17|52|0|0.327|0.426|0.5
Ryan O'Hearn|PIT|92|4|11|16|1|15|12|25|77|2|0.325|0.413|0.519
Colt Keith|DET|74|0|11|6|0|15|3|23|71|0|0.324|0.351|0.423
Chandler Simpson|TBR|104|0|12|5|7|7|4|31|96|1|0.323|0.347|0.365
Myles Straw|TOR|35|1|11|3|0|3|3|10|31|0|0.323|0.382|0.452
Kevin McGonigle|DET|104|1|18|11|1|13|14|29|90|0|0.322|0.413|0.5
Liam Hicks|MIA|87|4|14|21|1|5|5|25|78|2|0.321|0.368|0.513
Drake Baldwin|ATL|115|7|26|23|0|20|10|33|103|0|0.32|0.391|0.563
Ernie Clement|TOR|101|0|8|6|1|7|1|32|100|0|0.32|0.327|0.42
Nico Hoerner|CHC|112|4|16|22|7|12|10|31|97|2|0.32|0.393|0.515
Jorge Mateo|ATL|24|1|8|3|1|8|2|7|22|0|0.318|0.375|0.5
Adley Rutschman|BAL|43|1|4|5|0|7|5|12|38|0|0.316|0.395|0.553
Otto Lopez|MIA|101|3|19|11|4|18|6|29|92|1|0.315|0.366|0.511
Ben Rice|NYY|90|8|21|18|1|26|18|22|70|1|0.314|0.456|0.743
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0.314|0.375|0.451
Jose Fernandez|ARI|69|2|13|9|1|16|2|21|67|0|0.313|0.333|0.433
MJ Melendez|NYM|18|1|2|2|0|8|2|5|16|0|0.313|0.389|0.625
Corbin Carroll|ARI|92|3|17|17|4|24|14|24|77|1|0.312|0.413|0.61
Austin Martin|MIN|63|1|11|5|2|10|15|14|45|1|0.311|0.492|0.444
Carson Kelly|CHC|69|2|9|10|0|12|11|18|58|0|0.31|0.42|0.466
Daniel Schneemann|CLE|66|2|10|11|1|19|8|18|58|0|0.31|0.394|0.517
Miguel Andujar|SDP|55|0|5|2|1|10|2|16|52|0|0.308|0.345|0.423
Nick Loftin|KCR|16|0|3|3|0|1|3|4|13|0|0.308|0.438|0.462
Shea Langeliers|ATH|108|8|18|14|0|29|10|30|98|0|0.306|0.37|0.592
William Contreras|MIL|93|2|11|14|0|12|11|25|82|0|0.305|0.387|0.451
Michael Conforto|CHC|31|0|3|5|0|10|7|7|23|1|0.304|0.452|0.435
Brendan Donovan|SEA|71|3|7|8|1|12|9|17|56|1|0.304|0.437|0.518
Josh Jung|TEX|84|3|9|11|0|15|7|23|76|1|0.303|0.357|0.526
Troy Johnston|COL|80|2|8|10|1|17|5|22|73|0|0.301|0.354|0.466
Luis Arraez|SFG|98|0|11|6|2|4|5|27|90|2|0.3|0.33|0.356
Hyeseong Kim|LAD|37|1|5|4|3|9|6|9|30|1|0.3|0.405|0.467
Kyle Stowers|MIA|13|0|2|0|0|2|2|3|10|0|0.3|0.462|0.4
Weston Wilson|BAL|13|0|4|2|1|5|2|3|10|0|0.3|0.462|0.4
Freddie Freeman|LAD|97|3|9|14|0|10|9|26|87|0|0.299|0.371|0.506
Jorbit Vivas|WSH|60|0|10|3|0|6|6|14|47|1|0.298|0.414|0.362
Mauricio Dubón|ATL|90|2|12|14|0|15|5|25|84|0|0.298|0.344|0.452
Sal Stewart|CIN|108|8|17|24|6|19|15|27|91|2|0.297|0.389|0.615
Michael Harris II|ATL|86|6|11|14|2|15|5|24|81|0|0.296|0.337|0.543
Connor Wong|BOS|30|0|1|2|1|6|1|8|27|0|0.296|0.345|0.444
Everson Pereira|CHW|51|3|7|6|0|14|4|13|44|1|0.295|0.373|0.591
Jeremiah Jackson|BAL|82|5|9|19|1|19|2|23|78|1|0.295|0.317|0.513
Brice Turang|MIL|99|4|20|18|7|21|19|23|78|1|0.295|0.429|0.538
Matt Chapman|SFG|102|1|13|12|0|19|7|28|95|0|0.295|0.343|0.389
Jake Mangum|PIT|57|0|11|2|3|9|5|15|51|0|0.294|0.357|0.333
Oswald Peraza|LAA|76|4|9|8|3|17|6|20|68|0|0.294|0.36|0.529
Brandon Nimmo|TEX|110|4|14|11|1|23|9|29|99|0|0.293|0.364|0.495
Max Muncy|LAD|93|8|18|9|0|27|11|24|82|0|0.293|0.376|0.598
José Tena|WSH|44|0|7|6|0|12|2|12|41|0|0.293|0.341|0.317
Jordan Walker|STL|98|8|19|16|4|31|9|26|89|0|0.292|0.357|0.607
Alex Call|LAD|31|0|6|2|0|3|6|7|24|0|0.292|0.452|0.375
Luke Raley|SEA|79|5|11|13|0|29|5|21|72|0|0.292|0.354|0.583
CJ Abrams|WSH|105|6|14|19|5|17|12|25|86|1|0.291|0.41|0.535
Randy Arozarena|SEA|109|2|18|10|6|20|12|27|93|1|0.29|0.385|0.419
Nick Fortes|TBR|67|1|4|7|0|9|2|18|62|0|0.29|0.343|0.403
Masataka Yoshida|BOS|48|0|5|5|1|6|9|11|38|0|0.289|0.438|0.368
Oneil Cruz|PIT|108|7|18|22|10|36|9|28|98|0|0.286|0.352|0.551
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0.286|0.286|0.429
Mickey Moniak|COL|67|6|11|13|1|15|3|18|63|1|0.286|0.313|0.651
Ryan Mountcastle|BAL|15|0|0|1|0|2|1|4|14|0|0.286|0.333|0.357
Ryan Vilade|TBR|31|0|4|3|1|6|3|8|28|0|0.286|0.355|0.357
Bobby Witt Jr.|KCR|110|0|4|10|9|21|13|27|95|2|0.284|0.364|0.358
Carlos Correa|HOU|101|1|17|13|1|17|12|25|88|1|0.284|0.366|0.386
Taylor Ward|BAL|119|1|12|11|1|19|18|28|99|1|0.283|0.395|0.444
Tyler Freeman|COL|45|0|1|6|2|6|2|11|39|0|0.282|0.364|0.282
Casey Schmitt|SFG|77|2|7|8|1|18|2|20|71|1|0.282|0.325|0.465
Daylen Lile|WSH|111|3|15|13|1|16|8|29|103|0|0.282|0.333|0.437
Justin Crawford|PHI|73|0|7|3|1|14|7|18|64|0|0.281|0.37|0.391
Wilyer Abreu|BOS|96|3|11|11|0|19|7|25|89|0|0.281|0.333|0.449
Matt Shaw|CHC|62|2|7|9|1|12|3|16|57|1|0.281|0.311|0.474
Jonny DeLuca|TBR|53|2|11|13|2|9|3|14|50|0|0.28|0.321|0.48
Ezequiel Duran|TEX|54|1|7|8|3|12|4|14|50|0|0.28|0.333|0.42
Jeff McNeil|ATH|87|1|7|6|1|12|8|21|75|1|0.28|0.36|0.387
Seiya Suzuki|CHC|52|2|8|6|0|13|7|12|43|0|0.279|0.404|0.442
Jacob Wilson|ATH|105|2|10|13|1|13|1|29|104|0|0.279|0.286|0.385
Ozzie Albies|ATL|106|4|16|11|0|14|7|27|97|1|0.278|0.33|0.433
Alec Burleson|STL|103|3|10|17|1|13|12|25|90|1|0.278|0.359|0.444
Javier Báez|DET|69|1|9|5|1|13|2|18|65|1|0.277|0.304|0.4
Brandon Marsh|PHI|80|2|8|11|2|17|3|21|76|1|0.276|0.3|0.408
Xander Bogaerts|SDP|96|3|6|14|2|10|9|24|87|0|0.276|0.344|0.402
Riley Greene|DET|102|1|16|14|1|24|15|24|87|0|0.276|0.382|0.402
Joey Loperfido|HOU|66|0|7|7|1|19|6|16|58|1|0.276|0.348|0.362
Carter Jensen|KCR|79|6|11|14|0|22|8|19|69|1|0.275|0.354|0.565
Gabriel Moreno|ARI|45|0|6|5|0|8|3|11|40|1|0.275|0.333|0.4
Kyle Isbel|KCR|71|3|9|8|4|17|4|17|62|0|0.274|0.328|0.468
Heliot Ramos|SFG|89|2|9|13|0|27|5|23|84|0|0.274|0.315|0.393
Griffin Conine|MIA|25|2|6|4|2|6|2|6|22|0|0.273|0.36|0.591
Leo Jiménez|MIA|14|0|1|0|0|0|2|3|11|0|0.273|0.429|0.273
Felix Reyes|PHI|11|1|2|1|0|2|0|3|11|0|0.273|0.273|0.545
Brett Sullivan|COL|34|0|0|4|0|8|1|9|33|0|0.273|0.294|0.364
Angel Martínez|CLE|76|3|10|10|4|14|3|19|70|0|0.271|0.32|0.457
Ceddanne Rafaela|BOS|79|1|10|7|0|18|5|19|70|0|0.271|0.354|0.357
Spencer Horwitz|PIT|72|2|9|5|0|13|11|16|59|1|0.271|0.389|0.407
Brandon Lockridge|MIL|66|0|5|6|4|17|6|16|59|0|0.271|0.338|0.322
Nick Gonzales|PIT|78|0|9|11|2|15|4|20|74|0|0.27|0.308|0.311
Jo Adell|LAA|112|3|12|15|1|22|3|28|104|1|0.269|0.313|0.375
Brayan Rocchio|CLE|91|3|10|15|1|10|10|21|78|0|0.269|0.367|0.423
Trevor Larnach|MIN|54|1|8|7|0|9|13|11|41|0|0.268|0.444|0.415
Jesús Sánchez|TOR|80|2|8|11|0|14|5|19|71|2|0.268|0.325|0.394
Andrés Giménez|TOR|92|3|8|12|4|14|4|23|86|1|0.267|0.297|0.442
Austin Hedges|CLE|33|0|6|2|0|8|2|8|30|1|0.267|0.303|0.333
Will Smith|LAD|85|2|10|11|0|14|9|20|75|1|0.267|0.341|0.36
Maikel Garcia|KCR|110|2|14|10|2|20|11|26|98|1|0.265|0.336|0.388
Matt Olson|ATL|112|7|20|22|0|28|13|26|98|1|0.265|0.348|0.582
Amed Rosario|NYY|55|4|6|13|0|8|4|13|49|2|0.265|0.309|0.571
Cody Bellinger|NYY|100|3|16|11|3|13|15|22|83|2|0.265|0.37|0.434
Giancarlo Stanton|NYY|89|3|8|13|1|25|6|22|83|0|0.265|0.315|0.446
Elly De La Cruz|CIN|112|8|21|18|6|33|10|27|102|0|0.265|0.33|0.549
Edmundo Sosa|PHI|36|1|4|6|0|7|2|9|34|0|0.265|0.306|0.441
Hunter Goodman|COL|97|6|17|9|1|36|7|23|87|0|0.264|0.34|0.54
Bryan Reynolds|PIT|106|3|16|16|1|27|17|23|87|1|0.264|0.387|0.414
Dillon Dingler|DET|83|5|11|18|0|14|5|19|72|0|0.264|0.346|0.528
Christian Walker|HOU|106|5|16|18|0|17|13|24|91|1|0.264|0.358|0.505
Adrian Del Castillo|ARI|39|1|4|9|0|9|1|10|38|0|0.263|0.282|0.395
Adam Frazier|LAA|47|1|10|4|0|14|6|10|38|0|0.263|0.378|0.421
Ryan Jeffers|MIN|70|2|11|12|0|13|11|15|57|0|0.263|0.391|0.439
Richie Palacios|TBR|48|1|7|4|3|7|7|10|38|0|0.263|0.417|0.368
Daulton Varsho|TOR|84|3|8|7|1|14|7|20|76|0|0.263|0.333|0.434
Jacob Young|WSH|81|2|10|12|1|12|3|20|76|0|0.263|0.3|0.395
Alex Bregman|CHC|112|2|7|9|1|16|12|26|99|1|0.263|0.339|0.374
Nolan Arenado|ARI|84|4|11|14|0|17|3|21|80|1|0.263|0.286|0.438
Willson Contreras|BOS|97|4|10|12|0|26|12|21|80|0|0.263|0.392|0.438
Brandon Lowe|PIT|93|7|13|19|0|21|12|21|80|0|0.263|0.366|0.575
Edouard Julien|COL|70|1|7|9|2|18|9|16|61|0|0.262|0.357|0.344
Jung Hoo Lee|SFG|93|1|9|9|0|14|7|22|84|2|0.262|0.312|0.369
Bryce Harper|PHI|100|5|11|13|1|16|12|23|88|0|0.261|0.35|0.511
Junior Caminero|TBR|110|6|15|12|0|18|13|25|96|1|0.26|0.345|0.479
Tristan Peters|CHW|54|0|3|1|2|17|4|13|50|0|0.26|0.315|0.32
Geraldo Perdomo|ARI|95|1|11|6|6|10|14|20|77|2|0.26|0.366|0.416
Dominic Canzone|SEA|60|3|9|10|1|12|4|14|54|1|0.259|0.317|0.537
Ty France|SDP|29|1|4|1|0|4|1|7|27|0|0.259|0.31|0.407
J.T. Realmuto|PHI|61|1|5|4|0|11|5|14|54|0|0.259|0.344|0.352
Garrett Mitchell|MIL|76|1|10|18|5|29|17|15|58|0|0.259|0.427|0.414
Shohei Ohtani|LAD|111|5|15|11|1|26|16|23|89|2|0.258|0.382|0.472
Dane Myers|CIN|38|1|7|3|1|6|6|8|31|0|0.258|0.395|0.355
Masyn Winn|STL|82|1|11|9|3|17|9|18|70|1|0.257|0.354|0.4
Teoscar Hernández|LAD|85|4|13|13|1|25|6|20|78|1|0.256|0.306|0.462
Munetaka Murakami|CHW|104|10|19|19|0|32|21|21|82|1|0.256|0.404|0.622
Max Muncy|ATH|97|2|15|7|2|33|5|22|86|2|0.256|0.32|0.43
Jeremy Peña|HOU|46|0|5|0|1|6|3|11|43|0|0.256|0.304|0.349
Jose Altuve|HOU|113|3|17|8|1|21|15|25|98|0|0.255|0.354|0.408
James Wood|WSH|123|9|25|20|4|37|23|25|98|0|0.255|0.407|0.592
Francisco Alvarez|NYM|76|4|8|6|0|13|9|16|63|0|0.254|0.365|0.476
Jac Caglianone|KCR|83|1|7|2|0|25|6|19|75|0|0.253|0.325|0.373
Luis García Jr.|WSH|83|1|11|15|2|12|4|20|79|0|0.253|0.289|0.367
Josh Bell|MIN|96|3|17|15|0|18|11|21|83|1|0.253|0.344|0.422
TJ Rumfield|COL|95|3|7|13|0|16|7|22|87|1|0.253|0.305|0.402
Fernando Tatis Jr.|SDP|103|0|9|12|6|25|11|22|87|3|0.253|0.333|0.299
Nick Allen|HOU|22|0|5|0|0|5|2|5|20|0|0.25|0.318|0.3
Jake Burger|TEX|101|5|10|19|0|31|3|24|96|1|0.25|0.277|0.448
Victor Caratini|MIN|80|1|5|11|0|9|8|16|64|4|0.25|0.35|0.313
Willi Castro|COL|74|1|10|9|2|26|5|17|68|0|0.25|0.311|0.353
Tristan Gray|MIN|41|2|4|11|0|15|2|9|36|1|0.25|0.3|0.444
Vaughn Grissom|LAA|28|0|3|3|0|2|6|5|20|1|0.25|0.407|0.25
Derek Hill|CHW|33|1|4|1|3|10|5|7|28|0|0.25|0.364|0.357
Bryce Johnson|SDP|18|0|2|2|3|7|1|4|16|0|0.25|0.294|0.375
Scott Kingery|CHC|4|0|2|0|1|0|0|1|4|0|0.25|0.25|0.25
Ronny Mauricio|NYM|4|0|0|1|0|2|0|1|4|0|0.25|0.25|0.25
Parker Meadows|DET|39|0|3|2|3|10|2|9|36|0|0.25|0.308|0.333
Chase Meidroth|CHW|98|1|15|2|1|19|11|21|84|0|0.25|0.337|0.345
Andrew Vaughn|MIL|4|0|0|1|0|0|0|1|4|0|0.25|0.25|0.25
Pete Crow-Armstrong|CHC|101|1|14|7|5|27|5|23|93|0|0.247|0.3|0.333
Gleyber Torres|DET|109|1|14|7|0|18|18|22|89|1|0.247|0.376|0.303
Ramón Laureano|SDP|94|4|13|15|3|26|7|21|85|1|0.247|0.309|0.459
Connor Norby|MIA|85|2|6|7|0|24|7|18|73|1|0.247|0.341|0.397
Julio Rodríguez|SEA|112|1|10|8|2|27|12|24|98|0|0.245|0.339|0.306
